country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,15383380,12793,291016,527,8994191,209594312,331849210
India,9714308,10400,141078,84,9189704,148814055,1385900954
Brazil,6628065,,177388,,5801067,25700000,213217698
Russia,2515009,26097,44159,562,1981526,80095220,145961882
France,2295908,,55521,,170285,21145554,65336705
Italy,1742557,,60606,,933132,23236881,60422807
UK,1737960,,61434,,N/A,45826753,68041627
Spain,1715700,,46646,,N/A,24101272,46762714
Argentina,1466309,,39888,,1300696,4111139,45376124
Colombia,1377100,,37995,,1267595,6775084,51118418
Germany,1200197,191,19540,1,863300,29141172,83901058
Mexico,1182249,6399,110074,357,873555,3023227,129521116
Poland,1076180,8312,20592,411,738845,6506710,37828425
Iran,1062397,11023,50917,323,754224,6477718,84458906
Peru,975116,,36324,,909389,5179331,33170715
Turkey,860432,,15103,,436270,19888747,84733150
Ukraine,832758,10811,13928,195,436564,4838979,43618024
South Africa,817878,,22249,,745750,5611915,59632845
Belgium,592615,859,17386,66,39938,6116392,11611651
Indonesia,586842,5292,18000,133,483497,6112234,274779789
Netherlands,570437,6146,9775,71,N/A,5077285,17151460
Iraq,568138,2123,12477,17,498064,3736860,40610089
Chile,563534,1392,15680,17,537727,5604702,19187597
Czechia,551070,,9036,,484781,3217762,10717676
Romania,524675,7439,12660,213,416797,4293672,19181131
Bangladesh,481945,2202,6906,32,401194,2894622,165402381
Philippines,442785,1400,8670,98,408790,6046742,110212920
Pakistan,423179,2885,8487,89,370474,5827852,222739662
Canada,423054,,12777,,338735,12069537,37886111
Morocco,381188,,6320,,334269,4086436,37100346
Saudi Arabia,359115,193,5989,12,349414,9948465,35048249
Switzerland,358568,4262,5566,71,279900,2918875,8682191
Israel,347497,700,2925,1,330475,5605071,
Portugal,327976,2905,5122,81,252428,4805677,10183645
Austria,308070,2377,4002,105,262314,3281731,9028814
Sweden,297732,,7200,26,N/A,3457247,10126722
Hungary,256367,2219,6120,136,75281,2158818,9649576
Jordan,247131,3062,3162,46,197058,2731879,10247152
Nepal,243377,1382,1637,23,229054,1799686,29362830
Serbia,234027,7818,2062,57,31536,1936157,8721893
Ecuador,198244,,13780,,174188,672954,17758911
Panama,179230,,3212,,154330,988059,4344125
UAE,178837,1260,596,2,160295,17649380,9942229
Georgia,169649,4673,1576,36,141392,1610374,3985805
Bulgaria,164185,,5010,,65616,1023067,6925376
Japan,163929,1862,2382,47,138994,3800689,126306315
Croatia,154852,2613,2298,65,130869,825023,4094114
Azerbaijan,154152,4387,1713,38,93411,1865512,10178925
Belarus,150602,1649,1222,7,127528,3461753,9447960
Dominican Republic,149630,492,2347,1,117804,761012,10895179
Costa Rica,146421,,1825,,102855,404440,5114347
Bolivia,145657,97,8997,2,124981,369436,11741980
Kuwait,144900,301,900,3,140638,1152203,4297894
Armenia,142928,584,2372,28,119147,532527,2965667
Qatar,140203,117,239,,137708,1144984,
Lebanon,138096,,1115,,90229,1703246,6811998
Kazakhstan,137653,670,2034,,121347,4206738,18874127
Guatemala,126473,799,4286,12,115406,562000,18058431
Oman,125325,210,1454,2,116720,571472,5162232
Slovakia,119232,1949,1046,28,87433,1148771,5460801
Egypt,118847,,6790,,103703,1000000,103166152
Moldova,117495,,2438,,101938,484392,4029845
Greece,116721,,3092,,9989,2485266,10400647
Ethiopia,113735,,1755,,82803,1673957,116183626
Honduras,111707,684,2950,4,49781,271223,9972684
Venezuela,104904,,924,,99982,2325906,28400540
Tunisia,104329,,3596,,77798,486415,11872334
Myanmar,101739,1308,2151,19,80726,1331092,54568769
Palestine,101109,1351,867,19,75257,742759,5152299
Bosnia and Herzegovina,96021,1077,3081,69,60210,443407,3271828
Denmark,94799,2150,901,7,73052,8053758,5801116
Algeria,88825,,2527,,57648,,44192535
Paraguay,88723,,1872,,62603,477350,7170530
Kenya,88579,,1531,,69414,927082,54280128
Bahrain,88111,,341,,86215,2129571,1726659
Libya,87986,889,1255,12,57837,466435,6911759
Slovenia,87915,1627,1862,66,65240,563795,2079063
Lithuania,77426,1388,673,36,32399,1343964,2705453
Kyrgyzstan,75690,295,1301,4,67873,526749,6570685
Malaysia,75306,1012,388,4,64056,2827083,32545730
Ireland,74468,,2099,,23364,2040826,4961728
Uzbekistan,74206,153,611,,71482,1377915,33679104
Nigeria,69645,,1181,,64947,817913,208328514
North Macedonia,68332,,1949,,44705,349742,2083337
Singapore,58285,12,29,,58176,4834370,5870374
Ghana,52274,,325,,51063,606736,31351900
Afghanistan,48366,230,1908,6,38033,161864,39304797
Albania,43683,,922,,22180,201572,2876418
El Salvador,40345,,1168,4,36735,567311,6500489
Norway,38920,217,361,2,27414,2400288,5439698
S. Korea,38755,594,552,3,29650,3221325,51288512
Montenegro,38562,,543,,27651,144500,628101
Luxembourg,38476,,360,,29792,1446528,630378
Sri Lanka,29378,798,142,,21258,917741,21452465
Finland,28242,361,424,,18100,2101955,5544488
Australia,27987,15,908,,25646,10228773,25628261
Cameroon,24752,,443,,23344,149000,26828933
Uganda,23200,,207,,9374,647471,46355657
Latvia,22104,584,288,16,1866,685663,1876975
Ivory Coast,21507,,132,,21150,226237,26658131
Sudan,19747,,1301,,11184,,44288515
Zambia,17963,32,364,,17268,455495,18603824
Madagascar,17513,,255,,16927,95472,27995726
Senegal,16596,43,340,,15864,238788,16932671
Mozambique,16326,,136,,14429,239164,31629384
Angola,15648,,354,,8353,171247,33301496
Estonia,15510,285,137,3,9446,518610,1326926
Namibia,15219,,152,,13949,165214,2560749
French Polynesia,15107,,79,,4842,26355,281616
DRC,13595,,344,,12059,,90721362
Guinea,13264,,79,,12465,79810,13285054
Maldives,13213,,47,,12437,251156,544652
Cyprus,12867,,63,,2057,639047,1211188
Tajikistan,12511,42,88,1,11926,,9629636
Botswana,12058,,36,,9400,455040,2372062
French Guiana,11458,,71,,9995,85763,301995
Jamaica,11271,87,265,,7292,121072,2966811
Cabo Verde,11098,,109,,10676,105814,558609
Zimbabwe,10839,,294,,8972,187667,14956546
Malta,10699,40,157,2,8641,450362,442057
Mauritania,9679,,194,,7849,106996,4701941
Haiti,9399,,233,,8148,34734,11462809
Gabon,9278,,60,,9132,315464,2248261
Cuba,8906,,136,,7997,1186621,11323584
Syria,8490,,452,,4000,,17682886
Guadeloupe,8427,,149,,2242,77192,400154
R¨¦union,8294,,41,,7729,48859,898096
Belize,7953,,176,,3943,44051,400741
Bahamas,7579,,163,,6003,44757,394877
Uruguay,7505,,83,,5240,472299,3478992
Andorra,7084,,78,,6293,173151,77319
Hong Kong,7076,100,112,,5696,4382709,7523456
Trinidad and Tobago,6775,,122,,5962,37523,1401469
Eswatini,6529,,123,,6094,63144,1165382
Rwanda,6191,,51,,5696,646813,13089773
Malawi,6051,,185,,5476,76148,19341512
Nicaragua,5838,,161,,4225,,6658743
Congo,5774,,94,,4988,,5576287
Djibouti,5708,,61,,5596,93786,994217
Guyana,5697,,154,,4779,32221,788209
Martinique,5520,,41,,98,65748,375137
Iceland,5506,10,28,1,5292,401246,342208
Suriname,5325,,117,,5214,22231,588918
Mali,5290,,175,,3377,108259,20499722
Mayotte,5181,,49,,2964,25231,275637
Equatorial Guinea,5166,,85,,5036,71619,1422572
Aruba,4966,,45,,4801,53107,106964
CAR,4922,,63,,1924,32711,4866005
Somalia,4579,,121,,3529,,16082598
Thailand,4126,19,60,,3874,977854,69876590
Gambia,3772,2,123,,3618,26448,2445659
Burkina Faso,3315,,68,,2721,,21148195
South Sudan,3181,,62,,2977,62494,11250662
Togo,3111,,65,,2677,155211,8361963
Benin,3073,,44,,2922,353070,12259052
Guinea-Bissau,2444,,44,,2337,33033,1987952
Sierra Leone,2428,,74,,1846,,8046788
Yemen,2383,,649,,1554,17157,30108167
Lesotho,2150,,44,,1278,26557,2149642
New Zealand,2085,6,25,,2006,1315201,
Niger,1894,,78,,1239,47907,24577706
San Marino,1800,,48,,1438,19281,33962
Chad,1728,,102,,1571,,16627008
Liberia,1676,,83,,1358,35957,5108675
Channel Islands,1676,,48,,1088,199491,174560
Liechtenstein,1404,7,19,,1235,15544,38176
Vietnam,1377,10,35,,1224,1339465,97719499
Sint Maarten,1155,14,26,,1030,8306,43087
Gibraltar,1058,3,5,,1004,97626,33687
Sao Tome and Principe,1002,,17,,940,7498,220913
Mongolia,888,1,,,384,321357,3301100
Saint Martin,801,84,12,,675,7838,38951
Turks and Caicos,756,,6,,740,9247,38944
Taiwan,718,2,7,,582,112939,23835642
Burundi,698,,1,,630,67818,12041747
Papua New Guinea,684,13,7,,601,32221,9020053
