country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86725,24,4634,,81785,160000000,
USA,16737267,187901,306459,1379,9724439,221195630,331880970
India,9884716,27336,143393,338,9387608,153711833,1386123196
Brazil,6901990,21395,181419,276,5982953,25700000,213242430
Russia,2653928,28080,46941,488,2106235,82600000,145962904
France,2376852,11533,57911,150,176995,28942112,65339066
UK,1849403,18447,64170,144,N/A,47141344,68047462
Italy,1843712,17938,64520,484,1093161,24215726,60421355
Turkey,1836728,26919,16417,218,1603780,21079716,84748019
Spain,1741439,,47624,,N/A,24101272,46763009
Argentina,1498160,3558,40766,98,1335317,4259194,45382916
Colombia,1425774,8702,39053,187,1314836,7069223,51127304
Germany,1338483,17891,22406,235,967900,30494036,83905438
Mexico,1241436,12057,113704,685,911965,3182316,129543309
Poland,1135676,8977,22864,188,858895,6675849,37827748
Iran,1108269,7451,52196,247,812270,6704247,84476530
Peru,984973,1928,36677,68,918352,5264455,33178246
Ukraine,894215,9176,15154,156,501564,4957299,43613740
South Africa,860964,7999,23276,170,761011,5859178,59645103
Indonesia,617820,6189,18819,166,505836,6382379,274827175
Netherlands,613487,9884,10048,29,N/A,5253381,17152080
Belgium,605966,2807,17902,110,41589,6309354,11612476
Czechia,579080,3655,9564,67,505816,3339753,10718001
Iraq,574634,1012,12579,14,507446,3898480,40624922
Chile,571919,2138,15886,40,544822,5775305,19190284
Romania,556335,4435,13385,121,457360,4428071,19179039
Bangladesh,490533,1355,7052,32,420896,2969630,165429258
Canada,460743,5891,13431,81,373253,12559324,37891529
Philippines,449394,1079,8733,3,418682,6236830,110236832
Pakistan,438425,3369,8796,72,383000,6032390,222810091
Morocco,399609,2012,6624,35,356023,4194760,37107516
Switzerland,373831,,5985,9,291500,3019837,8683227
Saudi Arabia,359888,139,6048,12,350549,10349590,35057143
Israel,357176,1390,2999,16,337186,6610179,
Portugal,348744,4044,5559,98,271322,4939014,10183160
Austria,322463,2641,4473,58,281106,3407510,9029655
Sweden,320098,,7514,,N/A,3718476,10127752
Hungary,280400,4153,6965,181,80752,2301174,9649176
Serbia,266432,4995,2331,56,31536,2030691,8721319
Jordan,259614,2339,3365,30,218467,2829006,10248811
Nepal,248423,830,1698,9,235731,1831041,29371432
Ecuador,202110,586,13875,1,177951,690569,17763305
Panama,193007,2422,3356,25,162105,1063099,4345239
Georgia,189726,2720,1790,46,158183,1686522,3985680
UAE,184949,1194,617,8,163679,18419249,9944188
Bulgaria,179449,497,5688,62,83720,1064458,6924524
Japan,177287,2988,2562,28,149286,4032816,126299995
Croatia,175886,3363,2640,78,148211,882282,4093701
Azerbaijan,175874,4451,1922,39,111918,1953303,10180421
Belarus,160295,1961,1263,9,138464,3609517,9447909
Dominican Republic,154692,1107,2361,1,120481,790739,10896961
Costa Rica,150947,,1895,,112622,431232,5115109
Armenia,148325,1013,2486,24,125169,548359,2965757
Bolivia,147030,333,9014,1,126092,377205,11744591
Lebanon,146520,1275,1200,10,101334,1783660,6811499
Kuwait,146218,174,911,,142094,1180662,4298930
Kazakhstan,141578,794,2088,,125380,4871752,18877808
Qatar,140961,134,240,,138490,1167017,
Slovakia,132984,2190,1175,27,97068,1216063,5460844
Guatemala,129282,183,4423,18,117923,581401,18063872
Moldova,126518,795,2572,25,108901,505420,4029692
Oman,126240,571,1471,8,118048,571472,5164368
Greece,124534,692,3625,85,9989,2582260,10399817
Egypt,121575,486,6920,22,104875,1000000,103197841
Ethiopia,116769,472,1806,3,93890,1706321,116230450
Honduras,114043,335,2974,3,51410,284003,9975269
Tunisia,111361,968,3894,58,84741,512738,11874360
Denmark,109758,2642,941,6,79394,8569655,5801450
Palestine,109738,1639,978,17,85110,772485,5154248
Myanmar,108342,1127,2268,23,86795,1437751,54574739
Venezuela,107786,609,954,5,102289,2347543,28399225
Bosnia and Herzegovina,101117,811,3336,38,65758,465140,3271495
Slovenia,96314,830,2063,22,73377,592436,2079068
Paraguay,93582,669,1953,16,66543,500744,7171966
Lithuania,93100,2848,815,24,38893,1414224,2704835
Algeria,92102,464,2596,12,60457,,44205533
Kenya,91892,366,1587,1,73028,971522,54299590
Libya,90779,899,1299,21,60895,483652,6913291
Bahrain,89143,178,348,,87182,2191887,1727634
Malaysia,83475,1229,415,4,69393,2940782,32552528
Kyrgyzstan,77356,297,1307,,70192,546791,6572452
Ireland,76185,429,2124,1,23364,2101317,4962632
Uzbekistan,74956,145,612,,72243,1377915,33687059
North Macedonia,73638,613,2121,25,49414,364858,2083335
Nigeria,73175,418,1197,3,66090,845458,208412524
Singapore,58320,7,29,,58208,4834370,5871127
Ghana,52933,,327,,51676,620148,31362555
Afghanistan,49273,321,1971,11,38384,169413,39319204
Albania,48530,788,1003,14,24820,217277,2876367
S. Korea,42766,1030,580,2,31814,3374595,51289233
Luxembourg,41718,446,402,6,31678,1507746,630545
El Salvador,41631,237,1200,7,37888,582161,6501025
Montenegro,41426,478,582,4,30493,154233,628102
Norway,41003,200,387,,34463,2421445,5440392
Sri Lanka,32790,655,152,3,23793,1004203,21453933
Finland,30810,360,453,,20000,2169345,5544629
Australia,28031,6,908,,25675,10379994,25633109
Uganda,27532,461,221,1,9826,680709,46379453
Latvia,25675,629,349,25,16778,728736,1876636
Cameroon,25143,,443,,23851,149000,26839799
Ivory Coast,21680,41,133,,21298,234067,26668871
Sudan,21386,239,1347,3,12313,,44305343
Zambia,18274,57,367,1,17388,484299,18612297
Estonia,18054,343,149,1,11037,544683,1326940
Madagascar,17587,,259,,16992,96565,28007434
Senegal,17075,78,349,,16094,245025,16939929
Mozambique,16954,142,142,2,14818,248476,31643794
Namibia,16536,267,160,,14684,175923,2561504
Angola,16188,27,371,5,8898,171247,33318335
French Polynesia,15618,,91,,4842,26355,281643
Cyprus,15101,625,78,3,2057,663696,1211331
DRC,14461,119,352,,12465,,90766200
Guinea,13420,,79,,12657,84951,13290915
Maldives,13368,20,48,,12706,269425,544808
Tajikistan,12704,80,88,,12133,,9633156
Botswana,12501,,37,,9940,470387,2372842
French Guiana,11800,,71,,9995,89832,302122
Jamaica,11710,102,273,2,7954,125320,2967023
Cabo Verde,11357,55,110,,10962,107404,558708
Zimbabwe,11246,27,307,,9451,189370,14960094
Malta,11153,52,169,3,9169,464429,442077
Mauritania,10971,191,225,3,8076,121358,4703951
Uruguay,9708,528,92,1,6358,510031,3479188
Haiti,9491,,233,,8241,34734,11465087
Cuba,9423,69,137,,8434,1251767,11323471
Gabon,9330,,63,,9182,329481,2249124
Belize,9295,122,195,3,4321,48864,400859
Syria,9166,125,518,12,4376,,17689876
Guadeloupe,8472,,151,,2242,78966,400155
R¨¦union,8431,,41,,8037,48859,898200
Bahamas,7659,11,163,,6069,46272,394939
Hong Kong,7542,95,117,2,6202,4656410,7524452
Andorra,7338,50,79,1,6629,173151,77321
Trinidad and Tobago,6879,15,122,,6145,38390,1401543
Eswatini,6768,54,127,,6379,63144,1165579
Rwanda,6659,131,56,,5955,667894,13095052
Malawi,6066,3,187,1,5491,78962,19349642
Congo,6049,,99,,4988,,5578520
Guyana,5920,41,155,1,5073,33898,788271
Nicaragua,5887,,162,,4225,,6660035
Mali,5814,93,194,5,3591,115350,20509323
Djibouti,5728,3,61,,5618,95261,994453
Martinique,5575,,42,,98,67378,375133
Iceland,5557,5,28,,5366,407409,342245
Mayotte,5551,,52,,2964,28914,275745
Suriname,5353,4,117,,5224,22676,589004
Equatorial Guinea,5185,,85,,5058,72627,1423331
Aruba,5049,5,46,,4896,55812,106971
CAR,4936,,63,,1924,32711,4867383
Somalia,4579,,121,,3529,,16089895
Thailand,4209,17,60,,3923,977854,69879453
Burkina Faso,4030,136,71,,2910,,21157626
Gambia,3782,3,123,,3647,27056,2446776
Togo,3251,30,66,,2771,160765,8365153
South Sudan,3206,,62,,3043,63753,11252813
Benin,3090,,44,,2972,360194,12264275
Guinea-Bissau,2444,,44,,2337,33033,1988716
Sierra Leone,2440,,75,,1850,,8049452
Niger,2258,59,80,,1292,52702,24592159
Lesotho,2250,,44,,1319,27964,2149920
New Zealand,2096,4,25,,2015,1341978,
Yemen,2083,,606,,1383,17404,30118960
Channel Islands,2068,91,48,,1291,199491,174586
San Marino,1932,,51,,1575,21402,33963
Chad,1770,19,102,,1607,,16634766
Liberia,1676,,83,,1358,35957,5110629
Liechtenstein,1514,32,20,,1296,15808,38178
Vietnam,1397,2,35,,1241,1339465,97733842
Sint Maarten,1232,7,26,,1075,8306,43095
Gibraltar,1075,3,5,,1032,102253,33686
Sao Tome and Principe,1009,,17,,950,7498,220980
Mongolia,907,1,,,384,420000,3301967
Saint Martin,801,,12,,675,7838,38961
Turks and Caicos,769,,6,,741,10461,38952
Taiwan,736,3,7,,606,115167,23836347
Burundi,729,1,1,,640,70060,12047578
Papua New Guinea,721,1,8,,601,32221,9022835
Eritrea,711,,,,564,23693,3568479
Monaco,668,,3,,597,51953,39368
Comoros,628,,7,,606,,877869
Faeroe Islands,528,3,,,506,176383,48947
Mauritius,515,,10,,478,289552,1272726
Tanzania,509,,21,,183,,60488464
Bhutan,437,1,,,400,216254,775436
Bermuda,391,,9,,233,117415,62173
Isle of Man,370,,25,,344,19325,85237
Cambodia,359,2,,,307,258400,16822947
Cayman Islands,298,,2,,267,55584,66069
Barbados,292,,7,,269,52861,287535
Saint Lucia,275,1,4,,203,17571,184007
Seychelles,187,,,,182,5200,98622
Caribbean Netherlands,175,,3,,165,3966,26333
St. Barth,162,,1,,127,5315,9891
Brunei ,152,,3,,147,77829,439369
Antigua and Barbuda,148,,5,1,138,5188,98295
St. Vincent Grenadines,98,4,,,81,11720,111100
Dominica,88,1,,,83,6618,72067
British Virgin Islands,76,,1,,72,9229,30322
Grenada,69,26,,,41,6252,112759
Fiji,46,,2,,38,18616,899381
Macao,46,,,,46,4238,653314
