country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86741,16,4634,,81794,160000000,1439323776
USA,16942980,198805,308091,1621,9871915,223183895,331886264
India,9906507,21791,143746,353,9421832,154566990,1386160236
Brazil,6929409,27419,181945,526,6016085,25700000,213246552
Russia,2681256,27328,47391,450,2124797,83102948,145963074
France,2379915,3063,58282,371,177647,29186274,65339460
UK,1869666,20263,64402,232,N/A,48209087,68048434
Turkey,1866345,29617,16646,229,1631944,21284005,84750497
Italy,1855732,12025,65011,491,1115617,24319310,60421114
Spain,1762036,7967,48013,129,N/A,24918644,46763059
Argentina,1503222,5062,41041,275,1340120,4302194,45384048
Colombia,1434516,8742,39195,142,1321469,7122577,51128785
Germany,1357141,18658,22887,481,984200,30494036,83906168
Mexico,1250044,8608,113953,249,918681,3194264,129547008
Poland,1140539,4863,22960,96,869155,6695762,37827635
Iran,1115770,7501,52447,251,823231,6750359,84479467
Peru,986130,1157,36754,77,920306,5273241,33179501
Ukraine,900666,6451,15247,93,506718,5052686,43613026
South Africa,866127,5163,23451,175,762746,5884227,59647146
Indonesia,623309,5489,18956,137,510957,6424385,274835073
Netherlands,621944,8457,10082,34,N/A,5253381,17152183
Belgium,608137,2171,17951,49,41661,6336972,11612613
Czechia,581082,1999,9681,89,511512,3350315,10718055
Iraq,575972,1338,12603,24,509474,3933815,40627394
Chile,573830,1911,15931,45,546538,5822181,19190731
Romania,559587,3252,13494,109,460780,4436130,19178690
Bangladesh,492332,1799,7089,37,423845,2986458,165433737
Canada,468862,8119,13553,122,379467,12634757,37892433
Philippines,450704,1310,8756,23,418694,6264737,110240817
Pakistan,440787,2362,8832,36,384719,6064220,222821830
Morocco,400826,1217,6659,35,359065,4204412,37108711
Switzerland,384557,10726,6154,169,308300,3095612,8683400
Saudi Arabia,360013,125,6059,11,350792,10409634,35058625
Israel,359506,2330,3004,5,338418,6631970,
Portugal,350938,2194,5649,90,274277,4939014,10183079
Sweden,341029,2956,7647,6,N/A,3718476,10127924
Austria,325051,2588,4530,57,284174,3425072,9029795
Hungary,283870,3470,7130,165,82546,2320419,9649109
Serbia,271364,4932,2380,49,31536,2046456,8721223
Jordan,262477,2863,3407,42,222654,2850723,10249087
Nepal,249244,821,1716,18,236573,1836464,29372866
Ecuador,202180,70,13875,,177951,691163,17764038
Panama,194619,1612,3382,26,163334,1072669,4345425
Georgia,191063,1337,1839,49,161681,1686522,3985659
UAE,186041,1092,618,1,164349,18517811,9944514
Bulgaria,181544,2095,5838,150,85578,1069756,6924382
Japan,179653,2366,2585,23,150947,4048710,126298942
Azerbaijan,178986,3112,1966,44,114841,1963348,10180671
Croatia,177358,1472,2705,65,151884,888080,4093632
Belarus,162148,1853,1273,10,139785,3625620,9447901
Dominican Republic,155184,492,2364,3,121007,793563,10897258
Costa Rica,153169,549,1936,15,118511,440279,5115236
Armenia,148682,357,2503,17,125966,549732,2965773
Lebanon,147613,1093,1210,10,103057,1790561,6811416
Bolivia,147150,120,9018,4,126221,377562,11745026
Kuwait,146449,231,912,1,142357,1185625,4299102
Kazakhstan,142325,747,2088,,126182,4871752,18878422
Qatar,141121,160,241,1,138719,1171929,
Slovakia,133489,505,1205,30,98585,1218962,5460851
Guatemala,129405,123,4445,22,118217,581933,18064779
Moldova,127253,735,2598,26,110179,507145,4029667
Oman,126504,264,1472,1,118287,571472,5164724
Greece,125173,639,3687,62,9989,2589438,10399679
Egypt,122086,511,6943,23,105132,1000000,103203122
Ethiopia,117242,473,1809,3,95225,1711099,116238254
Honduras,114359,316,2975,1,51478,284003,9975699
Denmark,113095,3337,950,9,80564,8664885,5801506
Tunisia,111361,,3894,,84741,512738,11874698
Palestine,111102,1364,1000,22,87057,778959,5154573
Myanmar,109512,1170,2292,24,88131,1456866,54575734
Venezuela,108125,339,960,6,103037,2347543,28399006
Bosnia and Herzegovina,101461,344,3391,55,66486,466426,3271440
Slovenia,96757,443,2107,44,73760,594115,2079069
Lithuania,95020,1920,825,10,38957,1421759,2704732
Paraguay,94223,641,1971,18,67242,504284,7172205
Algeria,92597,495,2609,13,60888,,44207699
Kenya,92055,163,1593,6,73452,973805,54302834
Libya,91357,578,1314,15,61453,487044,6913547
Bahrain,89268,125,348,,87332,2202876,1727797
Malaysia,84846,1371,419,4,70597,2960653,32553661
Kyrgyzstan,77674,318,1312,5,70450,548077,6572746
Ireland,76449,264,2126,2,23364,2122513,4962783
Uzbekistan,75094,138,612,,72368,1377915,33688385
North Macedonia,73851,213,2147,26,50046,365599,2083335
Nigeria,73374,199,1197,,66314,848194,208426526
Singapore,58325,5,29,,58210,4834370,5871253
Ghana,53160,227,327,,51761,622086,31364331
Afghanistan,49484,211,1975,4,38410,170855,39321605
Albania,49191,661,1016,13,24820,219385,2876358
S. Korea,43484,718,587,7,32102,3397039,51289353
Luxembourg,41900,182,410,8,33367,1519424,630572
El Salvador,41880,249,1205,5,38087,584631,6501114
Montenegro,41803,377,585,3,31138,155492,628102
Norway,41334,331,393,6,34782,2500706,5440507
Sri Lanka,33478,688,154,2,24309,1017682,21454178
Finland,31110,300,461,8,20000,2169813,5544652
Australia,28039,8,908,,25684,10400623,25633918
Uganda,27766,234,224,3,9921,683236,46383419
Latvia,25885,210,352,3,16869,731547,1876579
Cameroon,25214,71,443,,23851,149000,26841610
Ivory Coast,21705,25,133,,21318,235378,26670661
Sudan,21591,205,1355,8,12452,,44308148
Estonia,18381,327,154,5,11121,548666,1326943
Zambia,18322,48,367,,17409,489926,18613709
Madagascar,17587,,259,,16992,96565,28009386
Senegal,17146,71,350,1,16159,246147,16941139
Mozambique,17002,48,143,1,15006,249302,31646196
Namibia,16726,190,163,3,14837,177749,2561630
Angola,16277,89,372,1,8924,171247,33321141
French Polynesia,15747,129,96,5,4842,26355,281647
Cyprus,15450,349,82,4,2057,666123,1211355
DRC,14513,52,356,4,12653,,90773673
Guinea,13457,37,80,1,12713,85157,13291891
Maldives,13379,11,48,,12731,271346,544834
Botswana,12873,372,38,1,10456,489264,2372972
Tajikistan,12741,37,88,,12172,,9633743
French Guiana,11855,55,71,,9995,89832,302144
