country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,15609610,210112,296481,3058,9198584,212892031,331859797
India,9756610,26351,141735,337,9244505,149836767,1385975035
Brazil,6675915,54203,179032,848,5901511,25700000,213225942
Russia,2541199,26190,44718,559,2007792,80522238,145962223
France,2309621,14595,56648,296,173247,28023593,65337492
Italy,1757394,12756,61739,499,997895,23504588,60422323
UK,1750241,16578,62566,533,N/A,46344703,68043572
Spain,1715700,4886,47019,186,N/A,24101272,46762812
Argentina,1469919,5303,40222,213,1311488,4145226,45378388
Colombia,1384610,7523,38308,150,1287597,6855035,51121380
Germany,1226109,23873,20704,543,902100,29141172,83902518
Mexico,1193255,11006,110874,800,881050,3053713,129528514
Poland,1088346,12168,21160,568,768241,6547891,37828199
Iran,1072620,10223,51212,295,765639,6523409,84464781
Peru,976621,691,36455,54,912501,5204299,33173225
Turkey,893630,31712,15531,217,447361,20294377,84738106
Ukraine,845343,12585,14204,276,451118,4838979,43616596
South Africa,821889,6709,22574,142,754658,5690263,59636931
Belgium,594572,1957,17507,121,40258,6145774,11611926
Indonesia,592900,6058,18171,171,487445,6168268,274795584
Netherlands,576965,6528,9841,66,N/A,5077285,17151667
Iraq,569873,1735,12501,24,499846,3769232,40615033
Chile,564778,1244,15690,10,539171,5626894,19188492
Czechia,556927,,9136,,489759,3242280,10717784
Romania,532040,7365,12821,161,425816,4325130,19180434
Bangladesh,484104,2159,6930,24,405966,2911664,165411340
Philippines,444164,1387,8677,7,408942,6082553,110220891
Canada,430925,4207,12954,87,347819,12147827,37887917
Pakistan,426142,2963,8547,60,372271,5865944,222763138
Morocco,384088,4096,6427,57,341685,4122663,37102736
Switzerland,363654,5086,5710,117,283000,2952909,8682537
Saudi Arabia,359274,159,6002,13,349624,9990424,35051213
Israel,349024,1986,2934,2,332089,5605071,
Portugal,332073,4097,5192,70,254700,4805677,10183483
Austria,311002,2932,4056,54,265815,3302082,9029094
Sweden,304793,,7296,19,N/A,3457247,10127065
Hungary,259588,3221,6280,160,76270,2187555,9649443
Jordan,250219,3088,3206,44,202058,2755299,10247705
Nepal,244433,1056,1651,14,230537,1805972,29365697
Serbia,241831,7804,2116,54,31536,1958473,8721701
Ecuador,198752,476,13814,20,174188,676955,17760376
Panama,181166,,3241,,155870,999313,4344496
UAE,180150,1313,598,2,161084,17799178,9942882
Georgia,174383,4734,1614,38,145287,1627020,3985763
Bulgaria,168165,3328,5283,127,72078,1041360,6925092
Japan,165840,1911,2420,38,140622,3842524,126304208
Croatia,159372,4520,2367,69,133255,837619,4093976
Azerbaijan,158555,4403,1755,42,96330,1884578,10179423
