country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86701,13,4634,,81774,160000000,
USA,16308192,220298,302904,2309,9644325,219505072,331875677
India,9844322,30354,142841,393,9356879,152697399,1386086156
Brazil,6836313,44282,180453,690,5969706,25700000,213238308
Russia,2625848,28137,46453,560,2085958,82100000,145962734
France,2351372,13947,57567,194,175891,28717663,65338673
UK,1809455,21502,63506,519,N/A,47141344,68046489
Italy,1805873,19903,63387,649,1076891,24063029,60421597
Turkey,1780673,29136,15977,222,1581565,20898517,84745541
Spain,1741439,,47624,,N/A,24101272,46762960
Argentina,1489328,5274,40606,62,1330160,4237401,45381784
Colombia,1408909,8163,38669,197,1310425,7029070,51125823
Germany,1304200,21816,21889,351,957500,30494036,83904708
Mexico,1229379,12253,113019,693,904042,3150804,129539611
Poland,1126700,11496,22676,502,840541,6653788,37827861
Iran,1100818,8201,51949,221,800853,6657974,84473593
Peru,980943,2102,36544,65,916335,5248832,33176991
Ukraine,885039,12811,14998,243,494001,4957299,43614454
South Africa,845083,7882,22952,154,760118,5819755,59643060
Indonesia,611631,6388,18653,142,501376,6331331,274819278
Netherlands,603603,9080,10019,53,N/A,5077285,17151977
Belgium,603159,2762,17792,100,41334,6269883,11612338
Czechia,575422,6203,9450,88,504540,3323551,10717947
Iraq,573622,1022,12565,16,505669,3867170,40622450
Chile,569781,1807,15846,64,543083,5727305,19189836
Romania,551900,6333,13264,148,451477,4413212,19179387
Bangladesh,489178,1329,7020,34,417503,2956882,165424778
Canada,448841,6011,13251,99,368474,12485963,37890626
Philippines,448331,1285,8730,35,409391,6195558,110232847
Pakistan,435056,2729,8724,71,381208,5990168,222798353
Morocco,394564,3033,6542,47,353098,4179619,37106321
Switzerland,373831,,5970,48,291500,3019837,8683055
Saudi Arabia,359749,166,6036,13,350347,10349590,35055661
Israel,355252,2517,2979,14,335243,5605071,
Portugal,340287,4413,5373,88,268453,4939014,10183241
Sweden,320098,,7514,,N/A,3718476,10127581
Austria,319822,3241,4415,126,277883,3386308,9029515
Hungary,276247,5047,6784,162,79769,2275935,9649242
Serbia,261437,5679,2275,48,31536,2016984,8721414
Jordan,257275,1816,3335,49,213344,2810294,10248534
Nepal,247593,899,1689,15,234231,1825860,29369998
Ecuador,200765,759,13858,16,174188,688032,17762573
Panama,187779,2806,3309,22,160641,1051067,4345053
Georgia,187006,3907,1744,50,154241,1667615,3985701
UAE,183755,1154,609,2,163048,18275468,9943861
Bulgaria,177665,1287,5562,64,81757,1062824,6924666
Japan,174299,2757,2534,32,147524,4001554,126301048
Croatia,172523,4135,2562,78,144691,872515,4093770
Azerbaijan,171423,4268,1883,43,107635,1938244,10180172
Belarus,158334,1975,1254,8,135922,3578661,9447918
Dominican Republic,153585,1133,2360,1,119616,784626,10896664
Costa Rica,150947,,1895,,112622,427104,5114982
Armenia,147312,995,2462,17,124521,545240,2965742
Bolivia,146697,312,9013,5,125886,375921,11744156
Kuwait,146044,255,911,1,141825,1176983,4298757
Lebanon,143705,1540,1182,8,98584,1771633,6811582
Qatar,140827,147,240,,138347,1163120,
Kazakhstan,140784,789,2088,,124729,4871752,18877195
Slovakia,129099,3707,4405,26,95416,1206072,5460837
Guatemala,127087,558,1122,29,117615,580139,18062965
Moldova,125723,1459,2547,26,107733,503321,4029718
Oman,125669,,1463,,117327,571472,5164012
Greece,122648,1194,3472,68,9989,2572828,10399955
Egypt,120611,478,6877,21,104710,1000000,103192559
Ethiopia,115782,515,1791,12,92449,1701522,116222646
Honduras,113708,501,2971,3,51244,282300,9974838
Tunisia,109104,1289,3801,35,84218,508861,11874022
Palestine,108099,1477,961,30,83123,767501,5153923
Myanmar,107215,1352,2245,25,85406,1419187,54573744
Venezuela,107116,462,935,5,102289,2347543,28399444
Denmark,106715,3552,944,8,78236,8483883,5801394
Bosnia and Herzegovina,99543,763,3250,48,65289,463118,3271551
Slovenia,95481,1747,2041,43,72290,589788,2079067
Paraguay,92113,800,1927,10,65852,496890,7171726
Algeria,91526,517,1586,9,60028,,44203367
Kenya,91121,548,2575,4,72596,967317,54296347
Lithuania,90252,3303,791,27,38768,1403151,2704938
Libya,89880,,1278,,59839,478198,6913036
Bahrain,88820,145,347,1,87025,2180017,1727472
Malaysia,82246,1937,411,9,68084,2918977,32551395
Kyrgyzstan,77059,341,1307,,69794,544247,6572157
Ireland,75507,248,2120,3,23364,2101317,4962481
Uzbekistan,74811,147,612,1,72084,1377915,33685734
North Macedonia,72140,981,1190,19,48726,363021,2083335
Nigeria,72044,617,2077,4,65850,833755,208398523
Singapore,58313,8,29,,58197,4834370,5871002
Ghana,52738,195,326,1,51676,620148,31360779
Afghanistan,48952,126,1960,11,38328,167758,39316803
Albania,47742,879,989,12,24520,214776,2876376
S. Korea,41736,950,578,6,31493,3349864,51289113
El Salvador,41163,448,1193,7,37667,579690,6500936
Luxembourg,40755,517,392,4,31678,1507746,630517
Montenegro,40546,402,569,9,29614,152817,628102
Norway,40439,364,387,,34463,2421445,5440276
Sri Lanka,32135,760,147,2,23304,988964,21453689
Finland,30450,377,453,,20000,2163079,5544605
Australia,28024,13,908,,25671,10356077,25632301
Uganda,27071,702,220,,9744,676531,46375487
Cameroon,25087,56,443,,23851,149000,26837988
Latvia,25046,660,324,5,16237,723345,1876693
Ivory Coast,21618,21,133,,21261,232220,26667081
Sudan,20844,303,1340,4,12227,,44302539
Zambia,18217,56,366,1,17339,477174,18610884
Estonia,17713,758,148,6,10626,541151,1326938
Madagascar,17587,114,259,4,16992,96565,28005483
Senegal,17061,40,349,4,16059,243798,16938719
Mozambique,16680,132,139,1,14795,247448,31641393
Namibia,16269,172,160,,14582,174200,2561378
Angola,16061,100,365,1,8841,171247,33315528
French Polynesia,15618,,91,,4842,26355,281638
Cyprus,14476,827,75,5,2057,659089,1211307
DRC,14342,172,352,2,12465,,90758727
Guinea,13398,22,79,,12657,84951,13289938
Maldives,13326,22,48,,12659,267308,544782
Tajikistan,12624,36,89,,12050,,9632569
Botswana,12501,,37,,9940,470387,2372712
French Guiana,11755,45,71,,9995,89832,302101
Jamaica,11608,99,271,1,7799,124240,2966988
Cabo Verde,11262,40,110,,10922,107404,558691
Zimbabwe,11162,57,306,1,9359,189370,14959503
Malta,11101,121,166,,9079,461770,442073
Mauritania,10501,279,210,12,8022,110096,4703616
Haiti,9491,26,233,,8241,34734,11464707
Cuba,9330,87,63,1,8371,1229513,11323490
Gabon,9267,,136,,9182,329481,2248980
Uruguay,8965,331,185,1,6155,503373,3479156
Belize,8911,208,491,7,4279,48456,400839
Syria,8849,130,90,15,4319,,17688711
Guadeloupe,8472,,151,,2242,78966,400155
R¨¦union,8431,,41,,8037,48859,898183
Bahamas,7623,25,163,,6043,45657,394929
Hong Kong,7447,69,114,1,6114,4656410,7524286
Andorra,7236,52,78,,6629,173151,77321
Trinidad and Tobago,6852,12,122,,6126,38315,1401531
Eswatini,6685,29,126,1,6331,63144,1165546
Rwanda,6428,100,54,2,5892,665450,13094172
Malawi,6063,8,186,,5491,78863,19348287
Congo,6049,,99,,4988,,5578148
Nicaragua,5887,,162,,4225,,6659819
Guyana,5839,40,154,,5044,33656,788261
Djibouti,5725,4,61,,5612,95102,994413
Mali,5721,72,189,4,3566,113248,20507723
Martinique,5575,,42,,98,67378,375133
Iceland,5552,13,28,,5346,406296,342239
Mayotte,5551,,52,,2964,28914,275727
Suriname,5339,1,117,,5221,22629,588990
Equatorial Guinea,5185,2,85,,5058,72627,1423205
Aruba,5031,13,46,,4890,55294,106970
CAR,4936,,63,,1924,32711,4867154
Somalia,4579,,121,,3529,,16088679
Thailand,4192,12,60,,3915,977854,69878976
Burkina Faso,3779,315,123,2,2858,,21156054
Gambia,3750,,71,,3645,26851,2446590
Togo,3501,19,10,,2745,160114,8364621
