country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,14994174,10749,287883,58,8789798,205970642,331838624
India,9660894,16365,140367,151,9117479,146986575,1385826873
Brazil,6577177,,176641,,5761363,25700000,213209454
Russia,2460770,29039,43141,457,1937738,79323100,145961541
France,2281475,,54981,,169358,20957718,65335918
Italy,1709991,,59514,,896308,22962114,60423291
UK,1705971,,61014,,N/A,44812139,68039683
Spain,1699145,,46252,,N/A,22992742,46762615
Argentina,1459832,,39632,,1288785,4084362,45373860
Colombia,1362249,,37633,,1249702,6702477,51115456
Germany,1174028,3933,19014,39,846400,29141172,83899597
Mexico,1168395,11625,109456,593,859463,3005228,129513719
Poland,1063449,9176,20089,228,706720,6456364,37828650
Iran,1040547,11561,50310,294,730798,6387019,84453032
Peru,972688,,36231,,905696,5154919,33168204
Ukraine,813306,11590,13588,167,418581,4702234,43619452
South Africa,810449,,22067,,744298,5565928,59628760
Turkey,797893,,14705,,427242,19517084,84728194
Belgium,589942,2503,17254,112,39185,6082316,11611376
Indonesia,575796,6089,17740,151,474771,6032542,274763993
Iraq,564200,1680,12432,21,493567,3671654,40605145
Chile,560382,1714,15628,36,534789,5537774,19186701
Netherlands,557224,6779,9687,25,N/A,5077285,17151253
Czechia,545724,7,8838,8,476685,3174461,10717568
Romania,513576,5231,12320,134,405612,4255481,19181829
Bangladesh,477545,1666,6838,31,395960,2863169,165393422
Philippines,439834,1768,8554,29,408634,5979315,110204949
Pakistan,416499,3308,8361,58,355012,5754986,222716185
Canada,408921,,12589,,324882,11905770,37884304
Morocco,376738,,6184,,327693,4058751,37097956
Saudi Arabia,358713,187,5965,11,348879,9863493,35045284
Switzerland,344497,,5344,20,260600,2836245,8681846
Israel,344228,402,2916,7,327972,5605071,
Portugal,322474,3834,4963,87,243055,4722013,10183807
Austria,303430,2741,3840,83,252765,3247511,9028534
Sweden,278912,,7067,,N/A,3457247,10126378
Hungary,250278,6697,5868,162,71682,1941724,9649710
Nepal,240981,1096,1594,17,225805,1784519,29359962
Jordan,237513,,3010,,182463,2667541,10246599
Serbia,219652,5809,1949,58,31536,1899946,8722084
Ecuador,197391,,13756,,169804,669871,17757446
UAE,176429,1153,592,3,159132,17415725,9941576
Panama,175907,,3173,,151247,970591,4343753
Georgia,162475,4321,1504,42,133511,1586536,3985847
Bulgaria,160844,,4729,,60673,1015383,6925661
Japan,160098,2424,2315,32,135277,3740146,126308421
Croatia,150353,2899,2174,72,124439,810885,4094251
Dominican Republic,147655,,2345,,116329,746654,10894585
Belarus,147157,1878,1207,9,124774,3430515,9447977
Azerbaijan,146679,4356,1632,39,88497,1837001,10178426
Bolivia,145492,167,8992,5,124596,368251,11741110
Kuwait,144369,205,891,2,140035,1141794,4297548
Costa Rica,143685,,1773,,95789,404440,5114093
Armenia,141937,978,2326,17,116796,528876,2965637
Qatar,139908,125,239,,137276,1136425,
Kazakhstan,136271,773,2034,,120178,4206738,18872900
Lebanon,135876,,1090,,88096,1672623,6812164
Guatemala,125550,198,4250,11,114315,556522,18056618
Oman,124886,557,1444,9,116354,571472,5161520
Egypt,118014,,6750,,103324,1000000,103155589
Slovakia,116731,1269,996,15,82666,1135111,5460786
Moldova,115557,,2403,,99606,480248,4029896
Greece,114568,,2902,,9989,2469947,10400924
Ethiopia,112740,,1745,,79579,1664375,116168018
Honduras,110723,763,2945,4,49311,271223,9971823
Venezuela,104177,,916,,98879,2317442,28400979
Tunisia,102991,,3526,,76441,481662,11871659
Myanmar,99155,1108,2110,29,77636,1288365,54566779
Palestine,98038,1940,828,16,72773,728444,5151649
Bosnia and Herzegovina,94507,739,2952,30,58625,438057,3271939
Denmark,90603,1745,885,7,70876,7897759,5801005
Kenya,87984,,1518,,68532,927082,54273641
Bahrain,87732,,341,,85876,2108301,1726334
Algeria,87502,,2501,,56617,,44188203
Paraguay,87213,,1833,,61283,469346,7170051
Libya,86580,1051,1231,12,56702,458079,6911249
Slovenia,85805,1030,1744,44,63580,555886,2079062
Kyrgyzstan,74973,199,1295,5,66993,519585,6570097
Lithuania,74649,2219,626,15,30390,1327648,2705659
Ireland,73948,,2099,,23364,2010334,4961427
Uzbekistan,73904,153,611,,71173,1377915,33676453
Malaysia,72694,1335,382,2,61273,2787102,32543464
Nigeria,68937,,1180,,64650,791539,208300510
North Macedonia,67311,,1901,,42872,347080,2083337
Singapore,58260,5,29,,58158,4658858,5870123
Ghana,52198,102,325,,51019,602106,31348349
Afghanistan,47901,260,1875,10,37782,158811,39299994
Albania,42988,840,905,16,21617,197235,2876435
El Salvador,40131,201,1159,6,36525,564906,6500311
Norway,38200,127,354,,27414,2350736,5439466
Montenegro,37879,,530,,26809,142221,628100
Luxembourg,37684,,350,,28029,1418680,630322
S. Korea,37546,631,545,5,29128,3194867,51288272
Australia,27965,9,908,,25639,10184257,25626645
Finland,27631,413,415,,18100,2049857,5544441
Sri Lanka,27590,362,137,,20460,903280,21451975
Cameroon,24752,,443,,23344,149000,26825311
Uganda,22188,,206,,9117,638787,46347726
Ivory Coast,21441,,132,,21090,223877,26654550
Latvia,21313,526,262,9,1866,672603,1877089
Sudan,19196,,1290,,10942,,44282906
Zambia,17916,18,364,,17173,440644,18600999
Madagascar,17513,,255,,16927,95472,27991823
Senegal,16477,80,338,1,15776,236713,16930251
Mozambique,16133,,133,,14343,237408,31624580
Angola,15536,,354,,8335,171247,33295883
French Polynesia,15107,,79,,4842,26355,281607
Estonia,14978,479,131,5,8959,511618,1326921
Namibia,14950,,152,,13908,163135,2560497
DRC,13413,,342,,11857,,90706416
Guinea,13233,,76,,12355,79810,13283100
Maldives,13159,,47,,12264,248889,544599
Tajikistan,12428,39,87,,11833,,9628462
Cyprus,12181,,57,,2057,632950,1211140
Botswana,11531,,34,,8978,438332,2371802
French Guiana,11407,,71,,9995,85265,301953
Jamaica,11063,,261,,6866,118398,2966741
Cabo Verde,11036,,109,,10541,105444,558576
Zimbabwe,10617,,291,,8844,186397,14955363
Malta,10520,97,151,2,8396,445394,442051
