country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
Haiti,9370,,233,,8146,34734,11462049
Mauritania,9359,,184,,7835,106996,4701271
Gabon,9254,,60,,9106,311091,2247973
Cuba,8714,,136,,7909,1166513,11323622
Guadeloupe,8427,,149,,2242,77192,400154
Syria,8320,,442,,3879,,17680556
R¨¦union,8200,,41,,7729,48859,898061
Belize,7601,,172,,3752,42424,400701
Bahamas,7570,,163,,5995,44502,394857
Andorra,7005,,78,,6171,168635,77318
Uruguay,6965,,81,,4946,460820,3478926
Hong Kong,6898,95,112,,5567,4382709,7523124
Trinidad and Tobago,6751,,122,,5907,37410,1401444
Eswatini,6495,,122,,6078,63144,1165317
Rwanda,6084,,51,,5696,642657,13088013
Malawi,6049,,185,,5476,75984,19338802
Nicaragua,5838,,161,,4225,,6658312
Congo,5774,,94,,4988,,5575542
Djibouti,5701,9,61,,5593,93540,994138
Guyana,5637,,151,,4733,31684,788188
Martinique,5520,,41,,98,65748,375139
Iceland,5482,6,27,,5269,398627,342196
Suriname,5324,,117,,5207,22171,588889
Mayotte,5181,,49,,2964,25231,275601
Equatorial Guinea,5159,,85,,5023,70998,1422319
Mali,5062,,163,,3334,104321,20496522
Aruba,4957,,45,,4763,52200,106962
CAR,4922,,63,,1924,32711,4865546
Somalia,4525,,121,,3480,,16080166
Thailand,4086,14,60,,3853,977854,69875636
Gambia,3770,,123,,3615,26072,2445287
South Sudan,3166,,62,,2977,61964,11249945
Burkina Faso,3156,,68,,2697,,21145051
Togo,3085,,65,,2624,153945,8360900
Benin,3055,,44,,2907,345560,12257311
Guinea-Bissau,2441,,44,,2327,29037,1987697
Sierra Leone,2420,,74,,1843,,8045900
Yemen,2337,33,639,6,1549,17157,30104569
Lesotho,2150,,44,,1278,26557,2149550
New Zealand,2078,,25,,1997,1309992,
Niger,1789,,77,,1237,47907,24572889
San Marino,1789,,48,,1412,19028,33962
Chad,1722,,102,,1561,,16624422
Liberia,1676,,83,,1358,35957,5108024
Channel Islands,1549,,48,,1012,199491,174551
Liechtenstein,1396,18,17,,1183,15235,38175
Vietnam,1366,1,35,,1220,1339465,97714718
Sint Maarten,1139,19,26,,1017,7893,43085
Gibraltar,1053,5,5,,990,96075,33687
Sao Tome and Principe,999,,17,,937,7498,220891
Mongolia,849,7,,,384,270528,3300812
Turks and Caicos,756,,6,,740,9247,38941
Saint Martin,717,,12,,641,7149,38947
Taiwan,716,23,7,,574,112558,23835407
Burundi,694,,1,,575,62215,12039804
Papua New Guinea,671,,7,,597,32221,9019125
Monaco,637,,3,,572,51953,39362
Eritrea,632,,,,508,21655,3567406
Comoros,616,,7,,600,,877463
Faeroe Islands,510,4,,,501,171175,48943
Tanzania,509,,21,,183,,60451126
Mauritius,508,,10,,465,289552,1272680
Bhutan,426,2,,,387,208728,775250
Isle of Man,370,,25,,344,18834,85227
Cambodia,346,1,,,306,240491,16817889
Bermuda,288,,9,,216,111870,62178
Cayman Islands,288,,2,,257,53727,66053
Barbados,285,,7,,260,49307,287527
Saint Lucia,265,,2,,158,16641,183989
Seychelles,184,,,,168,5200,98609
Caribbean Netherlands,164,,3,,158,3681,26328
Brunei ,151,,3,,147,77829,439277
St. Barth,147,,1,,105,4767,9890
Antigua and Barbuda,144,,4,,133,4756,98277
St. Vincent Grenadines,87,,,,80,10423,111092
Dominica,85,,,,72,5655,72063
British Virgin Islands,72,,1,,71,6431,30318
Macao,46,,,,46,4238,653120
Fiji,44,,2,,33,16703,899239
Grenada,41,,,,39,6252,112748
Laos,39,,,,26,80962,7320668
New Caledonia,35,,,,32,17928,286676
Timor-Leste,31,,,,30,14932,1329127
Vatican City,27,,,,15,,802
Saint Kitts and Nevis,25,,,,20,4313,53361
Greenland,18,,,,18,13021,56813
Falkland Islands,17,,,,15,4454,3523
Solomon Islands,17,,,,5,4500,694010
Saint Pierre Miquelon,16,,,,14,2882,5782
Montserrat,13,,1,,12,577,4993
Western Sahara,10,,1,,8,,603552
Anguilla,7,,,,3,2651,15061
Marshall Islands,4,,,,4,,59362
Wallis and Futuna,3,,,,1,1149,11153
Samoa,2,,,,2,,198981
Vanuatu,1,,,,1,,310185
China,86619,18,4634,,81706,160000000,
