country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,15173802,13007,289019,102,8860059,207567079,331843917
India,9690798,13997,140800,210,9159056,147787656,1385863914
Brazil,6603540,,176962,,5776182,25700000,213213576
Russia,2488912,28142,43597,456,1956588,79700000,145961711
France,2292497,,55155,,169586,21041852,65336312
Italy,1728878,,60078,,913494,23125664,60423049
UK,1723242,,61245,,N/A,44812139,68040655
Spain,1699145,,46252,,N/A,24101272,46762664
Argentina,1463110,,39770,,1294692,4101188,45374992
Colombia,1371103,,37808,,1257410,6737972,51116937
Germany,1188862,4017,19205,46,863300,29141172,83900328
Mexico,1175850,7455,109717,261,866186,3016042,129517418
Poland,1067870,4423,20181,92,722446,6456364,37828537
Iran,1051374,10827,50594,284,742955,6432228,84455969
Peru,973912,,36274,,907654,5167466,33169459
Turkey,828295,,14900,,431253,19691845,84730672
Ukraine,821947,8641,13733,145,423704,4807961,43618738
South Africa,814565,,22206,,744780,5592663,59630802
Belgium,591756,1814,17320,66,39267,6105524,11611513
Indonesia,581550,5754,17867,127,479202,6059415,274771891
Iraq,566015,1815,12460,28,495725,3705069,40607617
Netherlands,564291,7067,9704,17,N/A,5077285,17151357
Chile,560382,,15628,,534789,5537774,19187149
Czechia,546833,,8902,,478094,3190257,10717622
Romania,517236,3660,12447,127,409121,4264272,19181480
Bangladesh,479743,2198,6874,36,398623,2877538,165397901
Philippines,441399,1574,8572,18,408702,6017141,110208935
Pakistan,420294,3795,8398,37,356542,5794242,222727923
Canada,415182,,12665,,329138,11977563,37885207
Morocco,379657,,6245,,331301,4074451,37099151
Saudi Arabia,358922,209,5977,12,349168,9903864,35046766
Switzerland,354306,9809,5422,73,260600,2896303,8682019
Israel,345661,755,2917,,329586,5605071,
Portugal,325071,2597,5041,78,245843,4722013,10183726
Austria,305693,2263,3897,57,256811,3262088,9028674
Sweden,278912,,7067,,N/A,3457247,10126550
Hungary,254148,3870,5984,116,74283,1963148,9649643
Jordan,244069,3980,3116,60,192033,2709571,10246875
Nepal,241995,1014,1614,20,227433,1790739,29361396
Serbia,226209,6557,2005,56,31536,1915643,8721989
Ecuador,197998,,13778,,174188,672259,17758178
Panama,177719,,3193,,152890,980089,4343939
UAE,177577,1148,594,2,159711,17503360,9941903
Georgia,164976,2501,1540,36,137499,1586536,3985826
Japan,162067,1969,2335,20,136903,3760305,126307368
Bulgaria,161421,,4797,,62246,1016807,6925518
Croatia,152239,1886,2233,59,127882,816241,4094183
Azerbaijan,149765,3086,1675,43,90278,1847191,10178675
Dominican Republic,149138,685,2346,1,117402,757043,10894882
Belarus,148953,1796,1215,8,126084,3449089,9447969
Bolivia,145560,68,8995,3,124799,368551,11741545
Kuwait,144599,230,897,6,140341,1146420,4297721
Costa Rica,143685,,1773,,95789,404440,5114220
Armenia,142344,407,2344,18,117649,530225,2965652
Qatar,139908,,239,,137276,1136425,
Lebanon,137112,,1099,,90229,1697089,6812081
Kazakhstan,136983,712,2034,,120799,4206738,18873514
Guatemala,125674,124,4274,24,114697,557235,18057524
Oman,125115,229,1452,8,116506,571472,5161876
Egypt,118432,,6771,,103501,1000000,103160870
Slovakia,117283,552,1018,22,84850,1138526,5460794
Moldova,116365,,2419,,101244,482229,4029871
Greece,115471,,3003,,9989,2479161,10400786
Ethiopia,113295,,1747,,80831,1669754,116175822
Honduras,111023,300,2946,1,49456,271223,9972253
Venezuela,104442,,919,,99494,2325906,28400759
Tunisia,104002,,3561,,76441,485097,11871996
Myanmar,100431,1276,2132,22,79240,1307744,54567774
Palestine,99758,1720,848,20,74053,735622,5151974
Bosnia and Herzegovina,94944,437,3012,60,59488,439811,3271884
Denmark,92649,2046,894,9,71882,7976385,5801061
Kenya,88579,199,1531,5,69414,927082,54276885
Algeria,88252,,2516,,57146,,44190369
Bahrain,87930,,341,,86030,2119355,1726497
Paraguay,87920,,1853,,61948,473438,7170290
Libya,87097,517,1243,12,57380,460914,6911504
Slovenia,86285,480,1796,52,63999,557637,2079062
Lithuania,76036,1386,637,11,30449,1334308,2705556
Kyrgyzstan,75395,422,1297,2,67400,519585,6570391
Malaysia,74294,1600,384,2,62306,2806767,32544597
Ireland,74246,,2099,,23364,2010334,4961577
Uzbekistan,74053,149,611,,71315,1377915,33677779
Nigeria,69255,,1180,,64774,803621,208314512
