country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,15840714,19100,297100,380,9235316,213241813,331859797
India,9780486,18160,141977,242,9268492,150759726,1385975035
Brazil,6730118,,179032,,5901511,25700000,213225942
Russia,2569126,27927,45280,562,2033669,81021364,145962223
France,2324216,,56648,,173247,28023593,65337492
Italy,1770149,,61739,,997895,23504588,60422323
UK,1766819,,62566,,N/A,46344703,68043572
Spain,1725473,,47019,,N/A,24101272,46762812
Argentina,1475222,,40222,,1311488,4145226,45378388
Colombia,1392133,,38308,,1287597,6855035,51121380
Germany,1251868,9615,20871,167,922100,30494036,83902518
Mexico,1205229,11974,111655,781,889168,3086510,129528514
Poland,1102096,13749,21630,470,792119,6586361,37828199
Iran,1083023,10403,51496,284,778167,6568472,84464781
Peru,977312,,36455,,912501,5204299,33173225
Turkey,955766,30424,15751,220,452593,20500579,84738106
Ukraine,858714,13371,14470,266,465021,4838979,43616596
South Africa,828598,,22574,,754658,5690263,59636931
Indonesia,598933,6033,18336,165,491975,6200252,274795584
Belgium,597643,3071,17603,96,40541,6191181,11611926
Netherlands,585685,8720,9902,61,N/A,5077285,17151667
Iraq,571253,1380,12526,25,501967,3803674,40615033
Chile,566440,1662,15774,84,540288,5659403,19188492
Czechia,563333,6402,9226,38,493946,3269653,10717784
Romania,539107,7067,12948,127,434679,4356567,19180434
Bangladesh,485965,1861,6967,37,410452,2927929,165411340
Philippines,445540,1383,8701,24,409058,6122123,110220891
Canada,435330,,12983,,350011,12226406,37887917
Pakistan,429280,3138,8603,56,374301,5906146,222763138
Morocco,388184,,6427,,341685,4122663,37102736
Switzerland,368695,5041,5791,81,288400,2985976,8682537
Saudi Arabia,359274,,6002,,349624,9990424,35051213
Israel,351579,1308,2937,3,332645,64578189,
Portugal,335207,3134,5278,86,259548,4805677,10183483
Austria,313688,2686,4163,107,269665,3329997,9029094
Sweden,312728,,7354,21,N/A,3718476,10127065
Hungary,265003,5415,6451,171,77362,2216880,9649443
Jordan,253121,2902,3250,44,206638,2777801,10247705
Serbia,249224,7393,2172,56,31536,1980272,8721701
Nepal,245650,1217,1663,12,231601,1813204,29365697
Ecuador,199228,,13814,,174188,676955,17760376
Panama,182977,,3264,,156870,1007599,4344496
UAE,181405,1255,602,4,161741,17955603,9942882
Georgia,178953,4570,1657,43,148332,1647979,3985763
Bulgaria,171493,,5283,,72078,1041360,6925092
Japan,168573,2733,2465,45,143006,3898969,126304208
Croatia,163992,4620,2420,53,136721,849714,4093976
Azerbaijan,162774,4219,1793,38,99892,1902584,10179423
Belarus,154392,1939,1238,8,132085,3517016,9447943
Dominican Republic,151721,1560,2358,8,118770,774387,10895773
Costa Rica,148688,,1864,,107624,423417,5114601
Bolivia,146060,214,9004,2,125490,372072,11742850
Armenia,145240,1174,2416,23,121882,539337,2965697
Kuwait,145204,,905,,140989,1158859,4298239
Qatar,140516,163,240,,138033,1154919,
Lebanon,140409,,1156,,94042,1728980,6811831
Kazakhstan,139159,777,2088,,123215,4795216,18875354
Guatemala,127786,659,4345,34,116442,571129,18060245
Oman,125669,179,1463,2,117327,571472,5162944
Slovakia,124921,3125,1104,20,91455,1177178,5460815
Moldova,122685,1715,2500,19,105238,496181,4029794
Greece,119720,,3289,,9989,2522718,10400371
Egypt,119702,,6832,,104074,1000000,103176715
Ethiopia,114834,,1769,,87244,1683558,116199234
Honduras,112792,617,2961,9,50888,277350,9973546
Tunisia,106856,,3717,,81204,495913,11873009
Venezuela,105852,,933,,100952,2331439,28400102
Palestine,104879,1887,910,20,78715,753340,5152948
Myanmar,104487,1321,2201,27,82813,1374159,54570759
Denmark,100489,3132,918,14,75664,8256533,5801228
Bosnia and Herzegovina,97317,,3151,,61322,452838,3271717
Slovenia,91922,1849,1949,49,69170,577208,2079065
Kenya,90305,644,1568,16,71254,945747,54286616
Paraguay,90146,,1901,,63891,485100,7171008
Algeria,90014,,2554,,58146,,44196868
Libya,89183,661,1273,12,59222,474223,6912270
Bahrain,88495,,347,,86518,2149366,1726984
Lithuania,83883,3330,735,31,34975,1372990,2705247
Malaysia,78499,2234,396,3,66236,2871261,32547996
Kyrgyzstan,76391,379,1306,3,68894,537462,6571274
Ireland,74900,,2102,,23364,2063450,4962029
Uzbekistan,74498,146,611,,71740,1377915,33681756
Nigeria,70669,,1184,,65242,817913,208356517
North Macedonia,69954,,2023,,46352,354205,2083336
Singapore,58297,6,29,,58188,4834370,5870625
Ghana,52738,116,326,,51518,616231,31355452
Afghanistan,48753,213,1939,18,38221,165463,39309599
Albania,46061,873,965,14,23609,209438,2876401
El Salvador,40741,,1180,6,37172,572266,6500668
S. Korea,40098,682,564,8,30637,3277947,51288752
Norway,39768,243,382,21,34463,2421445,5439929
Montenegro,39607,,556,,28461,148056,628101
Luxembourg,38864,,369,,29792,1446528,630433
Sri Lanka,30613,541,146,2,22261,941468,21452954
Finland,29572,840,442,9,20000,2136400,5544535
Australia,28000,7,908,,25663,10299601,25629877
Uganda,25059,,219,,9510,660758,46363589
Cameroon,24963,,443,,23344,149000,26832555
Latvia,23706,890,304,11,1866,704053,1876862
Ivory Coast,21547,,133,,21176,227882,26661711
Sudan,20468,172,1319,10,11673,,44294125
Zambia,18091,29,364,,17307,467787,18606648
Madagascar,17473,,255,,16927,95472,27999629
Senegal,16766,101,343,2,15950,241073,16935090
Estonia,16598,544,141,2,9945,529988,1326931
Mozambique,16521,81,139,1,14715,243314,31634187
Angola,15804,,358,,8579,171247,33307109
Namibia,15773,301,158,3,14218,170817,2561001
French Polynesia,15411,,90,,4842,26355,281625
DRC,13996,153,350,,12208,,90736308
