country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,14333241,18976,280210,343,8468702,200011714,331822744
India,9556881,23410,138946,289,8998066,143557647,1385715753
Brazil,6436650,,174531,,5698353,25700000,213197088
Russia,2375546,28145,41607,554,1859851,77693654,145961030
France,2244635,,53816,,165563,20678186,65334738
Spain,1682533,,45784,,N/A,22992742,46762467
UK,1659256,,59699,,N/A,44059851,68036766
Italy,1641610,,57045,,823335,22334342,60424017
Argentina,1440103,,39156,,1268358,3975760,45370463
Colombia,1334089,,37117,,1225635,6535154,51111013
Mexico,1133613,11251,107565,800,836567,2919879,129502622
Germany,1114892,9060,17989,177,800000,29141172,83897407
Poland,1028610,14838,18828,620,646560,6355941,37828989
Iran,1003494,13922,49348,358,699315,6256715,84444220
Peru,967075,,36076,,899213,5103401,33164438
South Africa,796472,,21709,,734305,5468670,59622631
Ukraine,772760,14496,12960,243,384426,4528772,43621595
Turkey,700880,,14129,,414141,18956228,84720759
Belgium,582252,3040,16911,125,38261,5976114,11610963
Iraq,558767,2039,12361,21,487863,3576592,40597729
Indonesia,557877,8369,17355,156,462553,5867621,274740300
Chile,553898,,15438,,529501,5378733,19185358
Netherlands,538050,5606,9565,61,N/A,4043482,17150944
Czechia,533042,,8515,,461599,3109602,10717406
Romania,492211,7661,11876,211,381001,4170013,19182875
Bangladesh,471739,2336,6748,35,388379,2820981,165379983
Philippines,435413,1061,8446,10,399325,5868974,110192993
Pakistan,406810,3499,8205,39,346951,5627539,222680970
Canada,389775,,12325,,309886,11652814,37881595
Morocco,364190,,5985,,314237,3995885,37094371
Saudi Arabia,358102,230,5930,11,347881,9751776,35040837
Israel,340424,805,2890,7,325874,5605071,
Switzerland,340115,4455,5142,97,257600,2808820,8681328
Portugal,303846,,4645,,223446,4640505,10184050
Austria,293430,3969,3538,92,238127,3180666,9028113
Sweden,272643,,7007,26,N/A,3457247,10125863
Nepal,237589,1343,1551,13,220272,1763919,29355661
Hungary,231844,6635,5324,182,67033,1876274,9649910
Jordan,231237,4029,2909,55,173369,2627156,10245769
Serbia,199158,7802,1765,61,31536,1844731,8722371
Ecuador,194876,,13562,,169804,658661,17755249
UAE,172751,1317,585,5,157035,17126504,9940597
Panama,169339,,3114,,146576,927315,4343196
Japan,152827,2441,2213,41,129241,3636512,126311581
Bulgaria,151913,,4347,,55206,990785,6926087
Georgia,147636,4260,1387,45,124568,1207234,3985909
Dominican Republic,146009,812,2335,1,115992,732425,10893694
Bolivia,144994,184,8972,9,123673,364199,11739804
Kuwait,143574,314,884,2,138674,1118620,4297030
Belarus,141609,1701,1181,7,118924,3335788,9448002
Costa Rica,141340,,1739,,88226,398784,5113713
Qatar,139477,221,239,,136741,1125668,
Croatia,139415,4534,1964,48,113509,780257,4094458
Armenia,138508,1277,2254,26,113228,519445,2965592
Kazakhstan,133887,769,1990,,118004,4206738,18871060
Azerbaijan,133733,4189,1510,40,81234,1781218,10177677
Lebanon,131297,,1055,,83034,1646418,6812413
Oman,124329,184,1435,5,115866,571472,5160452
Guatemala,124053,593,4209,18,112719,547398,18053897
Egypt,116724,,6694,,102949,1000000,103139744
Moldova,112307,1727,2363,20,97549,472705,4029973
Slovakia,111208,1982,930,32,74273,1104025,5460765
Ethiopia,110984,,1715,,76067,1645995,116144606
Greece,109655,,2606,,9989,2413710,10401340
Honduras,109144,503,2930,3,48877,269711,9970530
Venezuela,103067,,905,,98030,2297557,28401636
Tunisia,99280,,3359,,73607,468749,11870646
Myanmar,95018,1418,2028,30,73748,1225134,54563794
Palestine,92708,2516,780,17,68250,704009,5150674
Bosnia and Herzegovina,91539,1161,2812,39,56050,428822,3272106
Bahrain,87270,,341,,85463,2075343,1725847
Kenya,86383,1253,1500,16,56464,911596,54263910
Denmark,85140,1605,858,6,67416,7653700,5800838
Algeria,85084,,2464,,54990,,44181704
Libya,84849,762,1212,12,55304,446019,6910483
Paraguay,84482,,1783,,59465,456916,7169333
Slovenia,81338,1772,1592,45,59469,538770,2079059
Kyrgyzstan,73933,420,1281,4,65589,509160,6569214
Uzbekistan,73431,96,611,,70712,1377915,33672475
Ireland,73066,,2074,,23364,1986285,4960975
Malaysia,69095,1075,376,11,57917,2728936,32540065
Nigeria,67960,,1177,,63839,779708,208258505
Lithuania,67066,2450,564,17,26836,1290467,2705968
North Macedonia,63890,,1825,,40977,337862,2083338
Singapore,58239,9,29,,58145,4658858,5869746
Ghana,51667,,323,,50547,592285,31343022
Afghanistan,47258,278,1841,19,37302,154603,39292791
Albania,40501,782,852,13,20484,192663,2876461
El Salvador,39130,,1134,5,35839,552608,6500043
Norway,37136,167,353,2,27414,2333109,5439119
Montenegro,36351,,510,,25409,137304,628100
Luxembourg,35802,,334,,26497,1395562,630238
S. Korea,35703,540,529,3,28352,3131886,51287911
Australia,27939,16,908,,25618,10103629,25624220
Finland,26422,540,408,,18100,1984815,5544371
Sri Lanka,25760,350,124,,19032,862446,21451241
Cameroon,24487,,441,,22177,149000,26819878
Uganda,21409,,206,,9044,633932,46335828
Ivory Coast,21361,,132,,21010,219775,26649180
Latvia,19307,930,235,11,1848,650021,1877258
Sudan,18254,,1265,,10493,,44274492
Zambia,17730,30,357,,17102,423002,18596763
Madagascar,17341,,251,,16657,93734,27985969
Senegal,16217,44,335,1,15697,233510,16926622
Mozambique,15866,,132,,14014,234514,31617375
Angola,15319,,351,,8139,171247,33287463
French Polynesia,14716,,77,,4842,26355,281594
Namibia,14477,,151,,13697,158582,2560119
Estonia,13469,451,123,1,8182,494885,1326914
Guinea,13167,24,76,,12204,76906,13280170
Maldives,13070,,47,,12001,248889,544521
DRC,12987,,336,,11694,,90683997
Tajikistan,12269,,87,,11677,,9626702
French Guiana,11283,,70,,9995,83906,301889
Cyprus,11175,,52,,2057,625577,1211068
Jamaica,10911,47,259,1,6614,116857,2966635
Cabo Verde,10867,,106,,10422,105008,558527
Botswana,10742,,34,,7912,422359,2371412
Malta,10197,96,148,2,8015,436377,442041
Zimbabwe,10129,,277,,8643,179942,14953588
Haiti,9313,,233,,8091,34734,11460910
Gabon,9239,,60,,9089,303373,2247541
Mauritania,8863,,179,,7780,105867,4700266
Cuba,8456,,136,,7714,1115144,11323678
Guadeloupe,8427,,149,,2242,77192,400153
R¨¦union,8102,,40,,7172,48859,898008
Syria,8059,,426,,3689,,17677061
Bahamas,7543,,163,,5934,43794,394826
Andorra,6842,,76,,5988,168635,77317
Trinidad and Tobago,6704,,121,,5843,37075,1401407
Hong Kong,6590,90,110,,5423,4153109,7522626
Eswatini,6455,,122,,6032,62652,1165218
Uruguay,6225,,80,,4584,442787,3478828
Malawi,6040,,185,,5471,74996,19334736
Rwanda,5994,,50,,5575,631598,13085373
Belize,5854,,148,,3151,30881,400642
Nicaragua,5838,,161,,4225,,6657666
Congo,5774,,94,,4988,,5574426
Djibouti,5682,,61,,5587,92384,994021
Martinique,5520,,41,,98,65748,375141
Guyana,5449,,151,,4530,30736,788157
Iceland,5448,15,27,,5216,395072,342178
Suriname,5320,,117,,5200,21840,588846
Mayotte,5181,,49,,2964,25231,275547
Equatorial Guinea,5156,,85,,5009,70718,1421939
CAR,4918,,63,,1924,32711,4864857
Aruba,4902,,45,,4718,50953,106958
Mali,4837,,161,,3263,101908,20491721
Somalia,4525,,121,,3480,,16076518
Thailand,4039,13,60,,3832,977854,69874204
Gambia,3765,,123,,3609,25431,2444728
South Sudan,3118,,61,,2966,59677,11248870
Benin,3055,,44,,2839,336377,12254699
Togo,3014,,65,,2543,151073,8359305
Burkina Faso,3010,,68,,2667,,21140335
Guinea-Bissau,2441,,44,,2327,29037,1987314
Sierra Leone,2416,,74,,1838,,8044567
Yemen,2217,,621,,1518,16855,30099172
Lesotho,2145,3,44,,1278,26464,2149411
New Zealand,2069,9,25,,1974,1291609,
San Marino,1714,27,46,,1356,18364,33961
Chad,1705,,102,,1539,,16620542
Niger,1640,,76,,1227,47083,24565663
Liberia,1595,,83,,1343,34105,5107047
Channel Islands,1397,,48,,1012,199491,174538
Vietnam,1361,3,35,,1209,1339465,97707547
Liechtenstein,1339,21,17,1,1169,14040,38174
Sint Maarten,1092,20,25,,976,7893,43081
Gibraltar,1038,3,5,,960,93595,33687
Sao Tome and Principe,997,,17,,934,7498,220858
Mongolia,819,7,,,365,216658,3300379
Turks and Caicos,751,1,6,,733,8958,38937
Saint Martin,717,,12,,641,7149,38942
Burundi,689,,1,,575,62215,12036888
Taiwan,686,1,7,,572,111230,23835055
Papua New Guinea,669,,7,,597,32221,9017734
Monaco,621,,3,,563,51953,39359
Comoros,613,,7,,586,,877311
Eritrea,577,,,,498,21655,3567003
Tanzania,509,,21,,183,,60437124
Mauritius,508,,10,,465,289552,1272663
Faeroe Islands,503,,,,500,168493,48942
Bhutan,415,1,,,386,205270,775181
Isle of Man,369,,25,,344,18691,85223
Cambodia,331,2,,,304,235154,16815991
Cayman Islands,285,,2,,256,53497,66046
Barbados,279,,7,,255,48176,287524
Bermuda,267,,9,,215,109448,62180
Saint Lucia,261,,2,,141,16302,183982
Seychelles,183,,,,162,5200,98604
Caribbean Netherlands,164,2,3,,158,3681,26326
Brunei ,151,,3,,145,77493,439243
St. Barth,147,,1,,105,4767,9890
Antigua and Barbuda,144,,4,,133,4756,98271
Dominica,85,,,,63,5655,72062
St. Vincent Grenadines,85,,,,80,10072,111089
British Virgin Islands,72,,1,,71,6431,30316
Macao,46,,,,46,4238,653048
Fiji,42,,2,,33,16229,899186
Grenada,41,,,,30,6252,112744
Laos,39,,,,26,79557,7319802
New Caledonia,33,,,,32,17565,286654
Timor-Leste,31,,,,30,14371,1328921
Vatican City,27,,,,15,,802
Saint Kitts and Nevis,22,,,,19,3677,53358
Greenland,18,,,,18,13021,56812
Falkland Islands,17,,,,15,4454,3522
Solomon Islands,17,,,,5,4500,693872
Saint Pierre Miquelon,16,,,,14,2882,5782
Montserrat,13,,1,,12,577,4993
Western Sahara,10,,1,,8,,603431
Anguilla,6,,,,3,2651,15059
Marshall Islands,4,,,,4,,59359
Wallis and Futuna,3,,,,1,1149,11154
Samoa,2,,,,,,198971
Vanuatu,1,,,,1,,310126
China,86567,16,4634,,81667,160000000,
