country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86701,13,4634,,81774,160000000,
USA,16563650,220298,305144,2309,9644325,219505072,331875677
India,9881357,30354,143352,393,9356879,152697399,1386086156
Brazil,6880595,44282,181143,690,5969706,25700000,213238308
Russia,2653928,28137,46941,560,2085958,82100000,145962734
France,2365319,13947,57761,194,175891,28717663,65338673
UK,1843712,21502,64520,519,N/A,47141344,68046489
Italy,1830956,19903,64026,649,1076891,24063029,60421597
Turkey,1809809,29136,16199,222,1581565,20898517,84745541
Spain,1741439,,47624,,N/A,24101272,46762960
Argentina,1494602,5274,40668,62,1330160,4237401,45381784
Colombia,1417072,8163,38866,197,1310425,7029070,51125823
Germany,1320592,21816,22171,351,957500,30494036,83904708
Mexico,1241436,12253,113704,693,904042,3150804,129539611
Poland,1135676,11496,22864,502,840541,6653788,37827861
Iran,1108269,8201,52196,221,800853,6657974,84473593
Peru,983045,2102,36609,65,916335,5248832,33176991
Ukraine,894215,12811,15154,243,494001,4957299,43614454
South Africa,852965,7882,23106,154,760118,5819755,59643060
Indonesia,617820,6388,18819,142,501376,6331331,274819278
Netherlands,613487,9080,10048,53,N/A,5077285,17151977
Belgium,605966,2762,17902,100,41334,6269883,11612338
Czechia,579079,6203,9535,88,504540,3323551,10717947
Iraq,574634,1022,12579,16,505669,3867170,40622450
Chile,571919,1807,15886,64,543083,5727305,19189836
Romania,556335,6333,13385,148,451477,4413212,19179387
Bangladesh,490533,1329,7052,34,417503,2956882,165424778
Canada,456529,6011,13366,99,368474,12485963,37890626
Philippines,449400,1285,8733,35,409391,6195558,110232847
Pakistan,438425,2729,8796,71,381208,5990168,222798353
Morocco,397597,3033,6589,47,353098,4179619,37106321
Switzerland,373831,,5984,48,291500,3019837,8683055
Saudi Arabia,359888,166,6048,13,350347,10349590,35055661
Israel,356250,2517,2990,14,335243,5605071,
Portugal,348744,4413,5559,88,268453,4939014,10183241
Sweden,322463,,4473,,N/A,3718476,10127581
Austria,320098,3241,7514,126,277883,3386308,9029515
Hungary,280400,5047,6965,162,79769,2275935,9649242
Serbia,266432,5679,2331,48,31536,2016984,8721414
Jordan,259614,1816,3365,49,213344,2810294,10248534
Nepal,248423,899,1698,15,234231,1825860,29369998
Ecuador,201524,759,13874,16,174188,688032,17762573
Panama,190585,2806,3331,22,160641,1051067,4345053
Georgia,189726,3907,1790,50,154241,1667615,3985701
UAE,183755,1154,609,2,163048,18275468,9943861
Bulgaria,178952,1287,5626,64,81757,1062824,6924666
Japan,177287,2757,2562,32,147524,4001554,126301048
Croatia,175886,4135,2640,78,144691,872515,4093770
Azerbaijan,175874,4268,1922,43,107635,1938244,10180172
Belarus,160295,1975,1263,8,135922,3578661,9447918
Dominican Republic,154692,1133,2361,1,119616,784626,10896664
Costa Rica,150947,,1895,,112622,427104,5114982
Armenia,148325,995,2486,17,124521,545240,2965742
Bolivia,147030,312,9014,5,125886,375921,11744156
Kuwait,146218,255,911,1,141825,1176983,4298757
Lebanon,145245,1540,1190,8,98584,1771633,6811582
Qatar,141578,147,2088,,138347,1163120,
Kazakhstan,140961,789,240,,124729,4871752,18877195
Slovakia,132984,3707,1175,26,95416,1206072,5460837
Guatemala,129282,558,4423,29,117615,580139,18062965
Moldova,126518,1459,2572,26,107733,503321,4029718
Oman,126240,,1471,,117327,571472,5164012
Greece,123842,1194,3540,68,9989,2572828,10399955
Egypt,121089,478,6898,21,104710,1000000,103192559
Ethiopia,116297,515,1803,12,92449,1701522,116222646
Honduras,114043,501,2974,3,51244,282300,9974838
Tunisia,110393,1289,3836,35,84218,508861,11874022
Palestine,109758,1477,941,30,83123,767501,5153923
Myanmar,109738,1352,978,25,85406,1419187,54573744
Venezuela,108342,462,2268,5,102289,2347543,28399444
Denmark,107177,3552,949,8,78236,8483883,5801394
Bosnia and Herzegovina,101117,763,3336,48,65289,463118,3271551
Slovenia,96314,1747,2063,43,72290,589788,2079067
Paraguay,93101,800,815,10,65852,496890,7171726
Algeria,92913,517,1937,9,60028,,44203367
Kenya,91892,548,1587,4,72596,967317,54296347
Lithuania,91638,3303,2584,27,38768,1403151,2704938
Libya,90779,,1299,,59839,478198,6913036
Bahrain,88965,145,348,1,87025,2180017,1727472
Malaysia,83475,1937,415,9,68084,2918977,32551395
Kyrgyzstan,77356,341,1307,,69794,544247,6572157
Ireland,75756,248,2123,3,23364,2101317,4962481
Uzbekistan,74956,147,612,1,72084,1377915,33685734
North Macedonia,73638,981,2121,19,48726,363021,2083335
Nigeria,72757,617,1194,4,65850,833755,208398523
Singapore,58320,8,29,,58197,4834370,5871002
Ghana,52933,195,327,1,51676,620148,31360779
Afghanistan,49273,126,1971,11,38328,167758,39316803
Albania,48530,879,1003,12,24520,214776,2876376
S. Korea,42766,950,580,6,31493,3349864,51289113
El Salvador,41394,448,1200,7,37667,579690,6500936
Luxembourg,41272,517,396,4,31678,1507746,630517
Montenegro,40948,402,578,9,29614,152817,628102
Norway,40927,364,387,,34463,2421445,5440276
Sri Lanka,32790,760,149,2,23304,988964,21453689
Finland,30810,377,453,,20000,2163079,5544605
Australia,28030,13,908,,25671,10356077,25632301
Uganda,27532,702,221,,9744,676531,46375487
Cameroon,25675,56,349,,23851,149000,26837988
Latvia,25143,660,443,5,16237,723345,1876693
Ivory Coast,21639,21,133,,21261,232220,26667081
Sudan,21147,303,1344,4,12227,,44302539
Zambia,18274,56,367,1,17339,477174,18610884
Estonia,18055,758,149,6,10626,541151,1326938
Madagascar,17587,114,259,4,16992,96565,28005483
Senegal,17075,40,349,4,16059,243798,16938719
Mozambique,16812,132,140,1,14795,247448,31641393
Namibia,16269,172,160,,14582,174200,2561378
Angola,16161,100,366,1,8841,171247,33315528
French Polynesia,15618,,91,,4842,26355,281638
Cyprus,14800,827,77,5,2057,659089,1211307
DRC,14461,172,352,2,12465,,90758727
Guinea,13420,22,79,,12657,84951,13289938
Maldives,13348,22,48,,12659,267308,544782
Tajikistan,12704,36,88,,12050,,9632569
Botswana,12501,,37,,9940,470387,2372712
French Guiana,11800,45,71,,9995,89832,302101
Jamaica,11710,99,273,1,7799,124240,2966988
Cabo Verde,11302,40,110,,10922,107404,558691
Zimbabwe,11219,57,307,1,9359,189370,14959503
Malta,11153,121,169,,9079,461770,442073
Mauritania,10780,279,222,12,8022,110096,4703616
Haiti,9491,26,233,,8241,34734,11464707
Cuba,9423,87,137,1,8371,1229513,11323490
Gabon,9330,,63,,9182,329481,2248980
Uruguay,9180,331,91,1,6155,503373,3479156
Belize,9173,208,192,7,4279,48456,400839
Syria,9041,130,506,15,4319,,17688711
Guadeloupe,8472,,151,,2242,78966,400155
R¨¦union,8431,,41,,8037,48859,898183
Bahamas,7659,25,163,,6043,45657,394929
Hong Kong,7542,69,116,1,6114,4656410,7524286
Andorra,7288,52,78,,6629,173151,77321
Trinidad and Tobago,6864,12,122,,6126,38315,1401531
Eswatini,6714,29,127,1,6331,63144,1165546
Rwanda,6528,100,56,2,5892,665450,13094172
Malawi,6063,8,186,,5491,78863,19348287
Congo,6049,,99,,4988,,5578148
Nicaragua,5887,,162,,4225,,6659819
Guyana,5879,40,154,,5044,33656,788261
Djibouti,5814,4,194,,5612,95102,994413
Mali,5725,72,61,4,3566,113248,20507723
Martinique,5575,,42,,98,67378,375133
Iceland,5557,13,28,,5346,406296,342239
Mayotte,5551,,52,,2964,28914,275727
Suriname,5340,1,117,,5221,22629,588990
Equatorial Guinea,5185,2,85,,5058,72627,1423205
Aruba,5044,13,46,,4890,55294,106970
CAR,4936,,63,,1924,32711,4867154
Somalia,4579,,121,,3529,,16088679
Thailand,4209,12,60,,3915,977854,69878976
