country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86584,17,4634,,81679,160000000,
USA,14561668,237372,283224,2742,8659901,203888051,331838624
India,9593688,36638,139473,509,9058003,144727749,1385826873
Brazil,6487516,47435,175307,674,5744369,25700000,213209454
Russia,2402949,27403,42176,569,1888752,78227415,145961541
France,2257331,11221,54140,397,168352,20879180,65335918
Spain,1693591,5554,46038,214,N/A,22992742,46762615
UK,1674134,16298,60113,504,N/A,44812139,68039683
Italy,1664829,24099,58038,814,872385,22767130,60423291
Argentina,1447732,6899,39305,207,1281955,4055795,45373860
Colombia,1343322,9285,37305,162,1240990,6649697,51115456
Germany,1144643,23541,108173,431,820600,29141172,83899597
Mexico,1139772,11030,18426,608,843231,2948516,129513719
Poland,1041846,13236,19359,531,666413,6396712,37828650
Iran,1016835,13341,49695,347,708106,6256715,84453032
Peru,968846,2014,36104,91,903958,5136390,33168204
South Africa,800872,4932,21803,160,740450,5534084,59628760
Ukraine,787891,15131,13195,235,397809,4528772,43619452
Turkey,733261,32736,14316,193,423142,19338181,84728194
Belgium,584857,2605,17033,122,38577,6012323,11611376
Indonesia,563680,5803,17479,124,466178,5926986,274763993
Iraq,560622,1855,12387,26,489772,3609466,40605145
Chile,557135,1729,15558,39,531543,5455436,19186701
Netherlands,543924,5874,9623,58,N/A,4043482,17151253
Czechia,537663,4743,8641,97,473994,3152545,10717568
Romania,500273,8062,12052,176,390212,4205480,19181829
Bangladesh,473991,2162,6772,24,390951,2836411,165393422
Philippines,436345,934,8509,63,399345,5906862,110204949
Pakistan,410072,3262,8260,55,350305,5672166,222716185
Canada,396270,6299,12407,89,320096,11739689,37884304
Morocco,368624,3996,6063,73,323814,4038601,37097956
Saudi Arabia,358336,234,5940,10,348238,9796082,35045284
Switzerland,344497,4382,5243,112,260600,2836245,8681846
Israel,341760,1059,2896,5,327162,5605071,
Portugal,307618,4935,4724,79,234038,4722013,10183807
Austria,297245,3815,3651,113,243775,3209340,9028534
Sweden,278912,,7067,20,N/A,3457247,10126378
Nepal,238861,1272,1567,16,221847,1771950,29359962
Hungary,238056,6212,5513,189,68525,1876274,9649710
Jordan,234353,3116,2960,51,177195,2648917,10246599
Serbia,206940,7782,1834,69,31536,1867228,8722084
Ecuador,195884,598,13612,84,169804,666724,17757446
UAE,174062,1311,586,1,157828,17240432,9941576
Panama,171219,2388,3141,13,150051,955664,4343753
