country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
DRC,12859,,335,,11663,,90676524
Tajikistan,12231,,86,,11640,,9626115
French Guiana,11240,,70,,9995,83475,301868
Cyprus,10883,,49,,2057,622653,1211044
Jamaica,10864,54,258,,6500,116201,2966600
Cabo Verde,10816,,106,,10366,104510,558510
Botswana,10742,,34,,7912,422359,2371282
Zimbabwe,10129,,277,,8643,179942,14952997
Malta,10101,126,146,5,7887,433468,442038
Haiti,9296,,233,,8023,34734,11460530
Gabon,9214,,60,,9066,303373,2247398
Mauritania,8710,,177,,7764,104875,4699930
Guadeloupe,8427,,149,,2242,77192,400153
Cuba,8381,,136,,7658,1115144,11323697
R¨¦union,8054,,40,,7172,48859,897991
Syria,7973,,422,,3624,,17675897
Bahamas,7543,,163,,5934,43794,394816
Andorra,6790,,76,,5940,168635,77317
Trinidad and Tobago,6685,,120,,5807,36858,1401395
Hong Kong,6500,103,110,1,5394,4153109,7522460
Eswatini,6442,,122,,6017,62213,1165185
Malawi,6040,12,185,,5471,74996,19333381
Uruguay,6024,,78,,4483,437520,3478795
Rwanda,5948,,49,,5544,629131,13084494
Belize,5854,,148,,3151,30881,400622
Nicaragua,5838,,161,,4225,,6657451
Congo,5774,,94,,4988,,5574054
Djibouti,5680,,61,,5587,92180,993981
Martinique,5520,,41,,98,65748,375142
Guyana,5423,,151,,4436,30355,788147
Iceland,5413,,27,,5187,391989,342172
Suriname,5319,,117,,5197,21747,588832
Mayotte,5181,,49,,2964,25231,275529
Equatorial Guinea,5156,,85,,5009,70718,1421812
CAR,4918,,63,,1924,32711,4864627
Aruba,4872,,45,,4705,50598,106957
Mali,4762,,160,,3241,101908,20490121
Somalia,4525,74,121,8,3480,,16075302
Thailand,4026,18,60,,3822,977854,69873727
Gambia,3743,,123,,3607,25282,2444542
South Sudan,3111,,61,,2954,59081,11248511
Benin,3015,,43,,2839,336377,12253828
Togo,2997,,64,,2515,150210,8358774
Burkina Faso,2931,,68,,2644,,21138763
Guinea-Bissau,2441,,44,,2327,29037,1987187
Sierra Leone,2413,,74,,1838,,8044123
Yemen,2197,,619,,1514,16855,30097373
Lesotho,2137,,44,,1278,26082,2149364
New Zealand,2060,1,25,,1963,1285766,
Chad,1700,,102,,1532,,16619249
San Marino,1650,,46,,1334,17645,33961
Liberia,1595,,83,,1343,34105,5106721
Niger,1586,,75,,1219,46310,24563254
Vietnam,1358,7,35,,1201,1339465,97705157
Channel Islands,1341,,48,,1012,199491,174534
Liechtenstein,1318,32,16,,1149,14040,38174
Sint Maarten,1069,,25,,964,7586,43079
Gibraltar,1035,5,5,,954,92652,33687
Sao Tome and Principe,996,,17,,934,7498,220846
Mongolia,812,11,,,358,200059,3300234
Turks and Caicos,750,,6,,720,8770,38935
Saint Martin,717,,12,,641,7149,38940
Burundi,689,,1,,575,62215,12035916
Taiwan,685,6,7,,570,111045,23834937
Papua New Guinea,669,13,7,,597,32221,9017270
Monaco,617,,3,,559,51953,39359
Comoros,613,,7,,586,,877260
Eritrea,577,,,,498,21655,3566869
Tanzania,509,,21,,183,,60432457
Mauritius,505,,10,,463,289552,1272657
Faeroe Islands,503,,,,500,168493,48941
Bhutan,414,4,,,386,204328,775157
Isle of Man,369,,25,,340,18610,85222
Cambodia,329,3,,,304,231443,16815359
Cayman Islands,285,,2,,254,53350,66044
Barbados,278,,7,,255,47649,287523
Bermuda,262,,9,,214,108950,62181
Saint Lucia,259,,2,,138,16195,183980
Seychelles,183,,,,162,5200,98603
Caribbean Netherlands,162,,3,,157,3637,26325
Brunei ,151,,3,,145,77493,439231
St. Barth,147,,1,,105,4767,9890
Antigua and Barbuda,142,,4,,130,4752,98269
Dominica,85,,,,63,5655,72061
St. Vincent Grenadines,85,,,,80,10072,111088
British Virgin Islands,72,,1,,71,6431,30315
Macao,46,,,,46,4238,653023
Fiji,42,,2,,33,16229,899168
Grenada,41,,,,30,6252,112742
Laos,39,,,,26,79557,7319514
New Caledonia,33,,,,32,17565,286646
Timor-Leste,30,,,,30,13842,1328852
Vatican City,27,,,,15,,802
Saint Kitts and Nevis,22,,,,19,3677,53357
Greenland,18,,,,18,13021,56811
Solomon Islands,17,,,,5,4500,693826
Falkland Islands,16,,,,13,4245,3522
Saint Pierre Miquelon,16,,,,14,2882,5782
Montserrat,13,,1,,12,577,4993
Western Sahara,10,,1,,8,,603391
Anguilla,6,,,,3,2651,15059
Marshall Islands,4,,,,4,,59358
Wallis and Futuna,3,,,,1,1149,11155
Samoa,2,,,,,,198967
Vanuatu,1,,,,1,,310106
China,86551,9,4634,,81649,160000000,
