country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,14116044,7438,277068,89,8338691,196272672,331817450
India,9520407,20697,138416,257,8955249,142445949,1385678712
Brazil,6388526,,173862,,5656498,25700000,213192966
Russia,2347401,25345,41053,589,1830349,77200071,145960859
France,2230571,,53506,,164029,20669628,65334344
Spain,1673202,,45511,,N/A,22992742,46762418
UK,1643086,,59051,,N/A,43729581,68035793
Italy,1620901,,56361,,784595,22127199,60424259
Argentina,1432570,,38928,,1263251,3926286,45369331
Colombia,1324792,,36934,,1217647,6479003,51109532
Mexico,1122362,8819,106765,825,829817,2892449,129498923
Germany,1091464,5803,17516,157,779500,27859242,83896677
Poland,1013747,13855,18208,609,622980,6317532,37829102
Iran,989572,13621,48990,362,688054,6212694,84441283
Peru,965228,,36031,,896978,5085775,33163183
South Africa,792299,,21644,,732531,5383078,59620588
Ukraine,758264,13141,12717,169,369054,4528772,43622309
Turkey,668957,,13936,,409320,18772604,84718281
Belgium,579212,1867,16786,141,37924,5932877,11610826
Iraq,554767,,12306,,484570,3512920,40595257
Chile,553898,1034,15438,8,529501,5378733,19184910
Indonesia,549508,5533,17199,118,458880,5805224,274732402
Netherlands,532444,4921,9504,66,N/A,4043482,17150840
Czechia,528474,,8407,,455177,3085514,10717351
Romania,484550,4916,11665,135,371231,4137893,19183223
Bangladesh,469423,2198,6713,38,385786,2804174,165375504
Philippines,434357,1438,8436,18,399005,5836021,110189008
Pakistan,403311,2829,8166,75,345365,5584976,222669232
Canada,383468,,12211,,304888,11573322,37880692
Morocco,359844,,5915,,310193,3974785,37093176
Saudi Arabia,357872,249,5919,12,347513,9709651,35039355
Israel,338748,621,2881,4,324645,5605071,
Switzerland,335660,4786,4991,51,257600,2780856,8681155
Portugal,303846,3384,4645,68,223446,4353234,10184130
Austria,289461,3972,3446,121,233657,3149372,9027973
Sweden,266158,,6972,23,N/A,3174798,10125691
Nepal,236246,1490,1538,9,218161,1754630,29354228
Jordan,227208,3591,2854,52,168429,2601896,10245492
Hungary,225209,4136,5142,165,65888,1850230,9649976
Ecuador,193673,,13501,,169804,655192,17754516
Serbia,191356,7919,1704,52,31536,1822488,8722467
UAE,171434,1285,580,4,156380,16994124,9940271
Panama,167311,,3098,,145518,916423,4343010
Japan,150386,1692,2172,33,127304,3591597,126312634
Bulgaria,148775,,4188,,53000,982307,6926229
Dominican Republic,145197,895,2334,1,115611,727606,10893397
Bolivia,144810,102,8963,6,122495,362662,11739369
Georgia,143376,4033,1342,39,121621,1207234,3985930
Kuwait,143260,268,882,1,138134,1107581,4296858
Costa Rica,140172,,1731,,87721,398784,5113586
Belarus,139908,1689,1174,8,117195,3306693,9448011
Qatar,139256,255,239,1,136513,1120706,
Armenia,137231,1264,2228,35,111795,515992,2965576
Croatia,134881,3539,1916,55,110355,769091,4094527
Kazakhstan,133118,770,1990,,117362,4206738,18870446
Azerbaijan,129544,3942,1470,37,79162,1763609,10177428
Lebanon,129455,,1033,,83034,1632412,6812496
Oman,124145,237,1430,,115613,571472,5160096
Guatemala,123460,686,4191,13,112181,543324,18052991
Egypt,116303,,6666,,102816,1000000,103134463
Ethiopia,110554,,1709,,74917,1641697,116136802
Slovakia,109226,2043,898,30,71738,1093761,5460758
Moldova,108863,,2323,,95918,464494,4029998
Honduras,108253,,2918,,48073,267616,9970100
Greece,107470,,2517,,9989,2394598,10401478
Venezuela,102621,,901,,97562,2297557,28401855
Tunisia,98072,1303,3311,51,72473,464985,11870308
Myanmar,93600,1411,1998,26,72601,1202415,54562799
Bosnia and Herzegovina,90378,1293,2773,46,54967,425012,3272161
Palestine,90192,2188,763,16,66989,693362,5150349
Bahrain,87137,,341,,85357,2064477,1725684
Kenya,84169,,1474,,55610,893646,54260667
Algeria,84152,,2447,,54405,,44179537
Libya,84087,670,1200,4,54712,440899,6910227
Denmark,83535,1586,852,6,66086,7575946,5800783
Paraguay,83479,,1771,,58949,452851,7169093
Slovenia,79563,2428,1547,57,57447,532166,2079059
Kyrgyzstan,73513,335,1277,2,65189,509160,6568919
Uzbekistan,73335,190,611,1,70534,1377915,33671149
Ireland,72798,,2069,,23364,1974478,4960824
Malaysia,68020,851,365,2,56969,2707207,32538932
Nigeria,67838,,1176,,63430,779708,208244503
Lithuania,64621,2109,547,28,25278,1277043,2706071
North Macedonia,62945,,1792,,40188,335298,2083338
Singapore,58230,2,29,,58139,4658858,5869621
Ghana,51667,,323,,50547,592285,31341246
Afghanistan,46980,263,1822,25,37026,152108,39290390
El Salvador,39130,,1129,9,35839,552608,6499954
Albania,39014,,822,,19384,188221,2876470
Norway,36591,,334,,27414,2294651,5439004
Montenegro,35849,,504,,24637,135448,628100
S. Korea,35163,511,526,,28065,3106970,51287791
Luxembourg,35129,,330,,26156,1383631,630210
Australia,27923,11,908,,25612,10067637,25623412
Finland,25882,420,408,9,18100,1971368,5544347
Sri Lanka,24882,350,122,,18304,848814,21450996
Cameroon,24487,,441,,22177,149000,26818067
Ivory Coast,21334,,132,,20981,218660,26647390
Uganda,21035,,205,,9044,630441,46331862
Latvia,18377,690,224,14,1823,641351,1877315
Sudan,18045,,1255,,10369,,44271687
Zambia,17700,35,357,,17086,416206,18595351
Madagascar,17341,,251,,16657,93734,27984018
Senegal,16173,66,334,1,15657,232594,16925413
Mozambique,15770,,131,,13778,232684,31614973
Angola,15251,,350,,7932,171247,33284657
French Polynesia,14559,,76,,4842,26355,281590
Namibia,14416,,151,,13600,157116,2559994
Guinea,13143,24,76,,12154,74560,13279193
Maldives,13049,,47,,11968,248889,544495
Estonia,13019,524,122,1,7608,489497,1326911
