country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
China,86601,17,4634,,81694,160000000,
USA,14774635,208790,285574,2251,8787738,205841812,331838624
India,9608418,36111,139736,480,9099946,145885512,1385826873
Brazil,6534951,42226,175981,660,5761363,25700000,213209454
Russia,2402949,28782,42176,508,1916396,78777839,145961541
France,2268552,12923,54767,214,169358,20957718,65335918
Italy,1699145,21052,46252,662,896308,22962114,60423291
UK,1690432,15539,60617,397,N/A,44812139,68039683
Spain,1688939,,58852,,N/A,22992742,46762615
Argentina,1454631,5201,39512,120,1288785,4084362,45373860
Colombia,1352607,9642,37467,166,1249702,6702477,51115456
Germany,1152283,17812,18691,284,835700,29141172,83899597
Mexico,1144643,12127,108173,690,852719,2977002,129513719
Poland,1041843,12430,19359,502,687910,6432494,37828650
Iran,1016835,12151,49695,321,719708,6342628,84453032
Peru,970860,1828,36195,36,905696,5154919,33168204
South Africa,805804,4645,21963,104,744298,5565928,59628760
Ukraine,787891,13825,13195,226,412533,4702234,43619452
Turkey,765997,31896,14509,196,427242,19517084,84728194
Belgium,584857,2582,17033,109,38858,6046837,11611376
Indonesia,563680,6027,17479,110,470449,5981908,274763993
Iraq,560622,1898,12387,24,491657,3639831,40605145
Chile,557135,1533,15558,34,531543,5495597,19186701
Netherlands,543924,6521,9623,39,N/A,4043482,17151253
Czechia,542406,3311,8738,92,476672,3174461,10717568
Romania,500273,8072,12052,134,399207,4237925,19181829
Bangladesh,473901,1978,6772,35,393408,2849951,165393422
Philippines,436345,1721,8509,16,399572,5942296,110204949
Pakistan,410072,3119,8260,43,352529,5713341,222716185
Canada,402569,6352,12496,93,324882,11905770,37884304
Morocco,372620,4118,6136,48,327693,4058751,37097956
Saudi Arabia,358336,190,5940,14,348562,9830703,35045284
Switzerland,344497,,5293,31,260600,2836245,8681846
Israel,342101,1725,2896,13,327749,5605071,
Portugal,312553,6087,4803,73,240203,4722013,10183807
Austria,297245,3444,3651,106,249441,3229393,9028534
Sweden,278912,,7067,,N/A,3457247,10126378
Hungary,238861,5525,1567,193,70396,1918043,9649710
Nepal,238056,1024,5513,10,224053,1778024,29359962
Jordan,234353,3160,2960,50,182463,2667541,10246599
Serbia,206940,6903,1834,57,31536,1885460,8722084
Ecuador,196482,909,13696,60,169804,669871,17757446
Panama,174062,2300,586,19,151247,970591,4343753
UAE,173607,1214,3154,3,158498,17323578,9941576
Bulgaria,158807,2037,4650,79,60673,1015383,6925661
