country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
Georgia,155232,5450,2240,37,129210,1586536,3985847
Japan,152704,2442,1425,43,133443,3715130,126308421
Dominican Republic,146680,975,2343,2,116329,746654,10894585
Croatia,145186,4084,8982,70,120857,801545,4094251
Bolivia,143917,139,886,5,124390,367150,11741110
Belarus,143685,1896,1773,8,122339,3398759,9447977
Kuwait,143383,247,1190,3,139610,1137692,4297548
Costa Rica,143370,,2032,,95789,404440,5114093
Azerbaijan,139692,4323,2277,42,85980,1817804,10178426
Armenia,139643,1267,239,32,116066,526148,2965637
Qatar,138000,140,1551,,137060,1133075,
Lebanon,134706,1581,2034,12,88096,1672623,6812164
Kazakhstan,134295,792,1078,,119419,4206738,18872900
Guatemala,124805,547,4224,15,113870,555213,18056618
Oman,124329,,1435,,115866,571472,5161520
Egypt,117583,431,6732,18,103324,1000000,103155589
Moldova,113829,1728,2384,19,99606,480248,4029896
Slovakia,113392,2070,957,24,79956,1127916,5460786
Greece,113185,1383,2804,98,9989,2469947,10400924
Ethiopia,112091,649,1734,11,79579,1664375,116168018
Honduras,109760,200,2938,3,49096,271223,9971823
Venezuela,103877,300,913,3,98879,2317442,28400979
Tunisia,101900,1091,3481,45,76441,481662,11871659
Myanmar,96520,1527,2059,22,76382,1269824,54566779
Palestine,94676,1422,797,15,71236,722951,5151649
Bosnia and Herzegovina,92793,975,2865,57,58034,435795,3271939
Denmark,87600,2115,341,11,69869,7824928,5801005
Kenya,87249,735,1506,12,68532,927082,54273641
Bahrain,86743,132,867,,85876,2108301,1726334
Algeria,86730,772,2492,9,56617,,44188203
Paraguay,86499,714,1813,20,61283,469346,7170051
Libya,85529,,1219,,56048,450525,6911249
Slovenia,83139,1636,1653,47,62600,552142,2079062
Kyrgyzstan,74373,401,1285,5,66538,519585,6570097
Ireland,73592,456,611,13,23364,2010334,4961427
Uzbekistan,73492,159,2086,,71002,1377915,33676453
Lithuania,70236,2848,376,21,30277,1317637,2705659
Malaysia,69582,1123,590,4,60204,2769720,32543464
Nigeria,68627,310,1179,1,64650,791539,208300510
North Macedonia,66330,981,1877,24,42872,347080,2083337
Singapore,58242,13,29,,58158,4658858,5870123
Ghana,52096,,325,,50924,601007,31348349
Afghanistan,47388,253,1847,18,37485,157316,39299994
Albania,41302,846,870,19,21286,197235,2876435
El Salvador,39718,212,1142,11,36402,562432,6500311
Norway,37801,272,354,,27414,2350736,5439466
Montenegro,37467,412,522,8,26809,142221,628100
Luxembourg,37017,667,345,5,28029,1418680,630322
S. Korea,36332,583,536,4,28917,3180496,51288272
Australia,27949,7,908,,25636,10160853,25626645
Sri Lanka,26758,669,415,7,20090,876044,21451975
Finland,26559,460,130,,18100,2047284,5544441
Cameroon,24752,,443,,23344,149000,26825311
Uganda,21898,290,206,,9117,638787,46347726
Ivory Coast,21412,29,132,,21090,223877,26654550
Latvia,19993,794,242,11,1866,666781,1877089
Sudan,18884,312,1280,10,10942,,44282906
Zambia,17857,41,364,,17168,436525,18600999
Madagascar,17513,,255,,16927,95472,27991823
Senegal,16297,100,336,1,15731,235788,16930251
Mozambique,16038,95,133,,14343,237408,31624580
Angola,15493,43,353,1,8335,171247,33295883
French Polynesia,15107,,79,,4842,26355,281607
Namibia,14780,170,152,,13908,163135,2560497
Estonia,13939,560,125,1,8919,505904,1326921
DRC,13281,132,337,5,11857,,90706416
Guinea,13186,47,76,,12355,79810,13283100
Maldives,13143,16,47,,12264,248889,544599
Tajikistan,12349,40,87,,11796,,9628462
Cyprus,11812,369,57,,2057,632950,1211140
Botswana,11531,,34,,8978,438332,2371802
French Guiana,11334,73,71,,9995,85265,301953
Jamaica,10996,76,108,1,6866,118398,2966741
Cabo Verde,10987,40,260,1,10541,105444,558576
Zimbabwe,10547,70,281,10,8844,186397,14955363
Malta,10320,103,149,,8289,442487,442051
Haiti,9347,23,233,,8146,34734,11462049
Mauritania,9254,178,60,2,7835,106996,4701271
Gabon,9181,,182,,9106,311091,2247973
Cuba,8610,104,136,,7909,1166513,11323622
Guadeloupe,8427,,149,,2242,77192,400154
Syria,8233,87,437,5,3879,,17680556
R¨¦union,8200,,41,,7729,48859,898061
Belize,7565,218,163,2,3752,42424,400701
Bahamas,7383,5,170,,5995,44502,394857
Andorra,6955,50,77,1,6171,168635,77318
Uruguay,6735,234,121,1,4946,460820,3478926
Hong Kong,6731,101,80,,5511,4382709,7523124
Trinidad and Tobago,6702,16,112,1,5907,37410,1401444
Eswatini,6480,15,122,,6078,63144,1165317
Rwanda,6047,41,185,,5696,642657,13088013
Malawi,6043,2,51,,5476,75984,19338802
Nicaragua,5838,,161,,4225,,6658312
Congo,5774,,94,,4988,,5575542
Djibouti,5690,2,61,,5592,93286,994138
Guyana,5601,36,151,,4733,31684,788188
Martinique,5520,,41,,98,65748,375139
Iceland,5462,14,27,,5253,397527,342196
Suriname,5322,2,117,,5207,22171,588889
Mayotte,5181,,49,,2964,25231,275601
Equatorial Guinea,5159,,85,,5023,70998,1422319
Mali,4942,124,45,,3334,104321,20496522
Aruba,4938,15,163,,4763,52200,106962
CAR,4918,4,63,,1924,32711,4865546
Somalia,4525,,121,,3480,,16080166
Thailand,4053,19,60,,3848,977854,69875636
Gambia,3768,2,123,,3615,26072,2445287
South Sudan,3154,12,62,,2977,61964,11249945
Burkina Faso,3091,65,68,,2697,,21145051
Togo,3055,34,44,,2624,153945,8360900
Benin,3051,,65,,2907,345560,12257311
Guinea-Bissau,2890,,7,,2327,29037,1987697
Sierra Leone,2441,,44,,1843,,8045900
Yemen,2420,37,74,6,1547,17157,30104569
Lesotho,2267,,627,,1278,26557,2149550
New Zealand,2150,9,44,,1994,1304502,
Niger,2069,63,25,,1237,47907,24572889
San Marino,1756,33,47,1,1412,19028,33962
Chad,1726,3,77,,1561,,16624422
Liberia,1719,,102,,1358,35957,5108024
Channel Islands,1676,23,83,,1012,199491,174551
Liechtenstein,1526,27,48,,1183,15235,38175
Vietnam,1361,4,35,,1220,1339465,97714718
Sint Maarten,1351,15,17,1,1007,7893,43085
Gibraltar,1105,6,25,,980,95790,33687
Sao Tome and Principe,1042,,5,,937,7498,220891
Mongolia,999,11,17,,368,256509,3300812
Turks and Caicos,831,1,0,,740,9247,38941
Saint Martin,755,,6,,641,7149,38947
Burundi,717,2,12,,575,62215,12039804
Taiwan,692,3,1,,574,112412,23835407
Papua New Guinea,690,,7,,597,32221,9019125
Monaco,671,7,7,,572,51953,39362
Eritrea,632,,0,,508,21655,3567406
Comoros,630,1,3,,600,,877463
Tanzania,615,,7,,183,,60451126
Mauritius,509,,21,,465,289552,1272680
Faeroe Islands,508,1,10,,500,170817,48943
Bhutan,505,6,0,,387,207557,775250
Isle of Man,418,,0,,344,18834,85227
Cambodia,370,10,25,,305,238478,16817889
Bermuda,335,10,0,,216,111870,62178
Cayman Islands,288,,2,,257,53727,66053
Barbados,284,1,7,,260,49307,287527
Saint Lucia,278,3,9,,158,16641,183989
Seychelles,262,,2,,168,5200,98609
Caribbean Netherlands,184,,0,,158,3681,26328
Brunei ,164,,3,,146,77829,439277
St. Barth,151,,3,,105,4767,9890
Antigua and Barbuda,147,,1,,133,4756,98277
St. Vincent Grenadines,144,,4,,80,10423,111092
Dominica,87,,0,,72,5655,72063
British Virgin Islands,85,,0,,71,6431,30318
Macao,72,,1,,46,4238,653120
Fiji,46,,0,,33,16703,899239
Grenada,44,,2,,39,6252,112748
Laos,41,,0,,26,80962,7320668
New Caledonia,39,,0,,32,17928,286676
Timor-Leste,35,,0,,30,14932,1329127
Vatican City,31,,0,,15,,802
Saint Kitts and Nevis,27,3,0,,20,4313,53361
Greenland,22,,0,,18,13021,56813
Falkland Islands,18,,0,,15,4454,3523
Solomon Islands,17,,0,,5,4500,694010
Saint Pierre Miquelon,17,,0,,14,2882,5782
Montserrat,16,,0,,12,577,4993
Western Sahara,13,,1,,8,,603552
Anguilla,10,,1,,3,2651,15061
Marshall Islands,7,,0,,4,,59362
Wallis and Futuna,4,,0,,1,1149,11153
Samoa,3,,0,,2,,198981
Vanuatu,2,,0,,1,,310185
