country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,13928377,8339,274555,223,8229735,194980236,331812157
India,9484506,21252,137933,274,8915158,141349298,1385641672
Brazil,6336278,,173165,,5601804,21900000,213188844
Russia,2322056,26402,40464,569,1803467,76755901,145960689
France,2222488,,52731,,162281,20618607,65333951
Spain,1664945,,45069,,N/A,22992742,46762368
UK,1629657,,58448,,N/A,43479023,68034821
Italy,1601554,,55576,,757507,21945099,60424501
Argentina,1424533,,38730,,1257227,3892522,45368199
Colombia,1316806,,36766,,1210489,6429234,51108051
Mexico,1113543,6472,105940,285,823586,2866225,129495225
Germany,1075702,5939,17047,185,758800,27859242,83895947
Poland,999924,9105,17599,449,597589,6275392,37829214
Iran,975951,13881,48628,382,677963,6168637,84438345
Peru,963605,,35966,,894741,5069698,33161928
South Africa,790004,,21535,,731242,5383078,59618545
Ukraine,745123,12498,12548,221,355172,4528772,43623023
Turkey,638847,,13746,,404727,18592292,84715803
Belgium,577345,746,16645,98,37474,5906234,11610688
Iraq,554767,2218,12306,48,484570,3512920,40592785
Chile,552864,1121,15430,20,528034,5357133,19184462
Indonesia,543975,5092,17081,136,454879,5746979,274724505
Netherlands,527523,4045,9438,62,N/A,4043482,17150737
Czechia,523298,,8295,,451607,3065132,10717297
Romania,479634,4272,11530,199,360934,4122192,19183572
Bangladesh,467225,2293,6675,31,383224,2788202,165371024
Philippines,432925,1298,8418,27,398782,5804014,110185022
Pakistan,400482,2458,8091,66,343286,5549779,222657494
Canada,379846,1707,12137,7,301345,11475642,37879788
Saudi Arabia,357623,263,5907,11,347176,9662314,35037872
Morocco,356336,,5846,,305291,3953900,37091981
Israel,337422,576,2867,2,323997,5605071,
Switzerland,330874,3802,4893,78,250200,2753942,8680983
Portugal,300462,2401,4577,72,220877,4353234,10184211
Austria,285489,3033,3325,141,227497,3121510,9027833
Sweden,260758,,6798,24,N/A,3174798,10125520
Nepal,233452,,1529,21,216594,1746330,29352794
Jordan,223617,4187,2802,51,162959,2577281,10245216
Hungary,221073,3951,4977,154,64802,1653780,9650043
Ecuador,192685,,13461,,169804,651702,17753784
Serbia,183437,7999,1652,48,31536,1800419,8722563
UAE,170149,1289,576,4,155667,16857641,9939944
Panama,165806,,3079,,144462,907285,4342825
Japan,148694,1934,2139,20,125470,3545916,126313687
Bulgaria,145300,,4035,,50565,973251,6926371
Bolivia,144708,86,8957,5,121702,361298,11738934
Dominican Republic,144302,314,2333,2,115530,720805,10893100
Kuwait,142992,357,881,1,137625,1101146,4296685
Costa Rica,139638,,1726,,87526,397311,5113459
Georgia,139343,3759,1303,36,117560,1183319,3985951
Qatar,139001,168,238,1,136306,1116081,
Belarus,138219,1572,1166,8,115587,3279137,9448019
Armenia,135967,843,2193,29,110365,512617,2965561
Kazakhstan,132348,689,1990,,116863,4206738,18869833
Croatia,131342,2900,1861,75,108231,759014,4094595
Lebanon,127944,,1018,,83034,1620913,6812579
Azerbaijan,125602,4426,1433,41,76897,1746198,10177178
Oman,123908,209,1430,7,115441,571472,5159740
Guatemala,122774,712,4178,7,111574,538797,18052084
Egypt,115911,,6650,,102718,1000000,103129181
Ethiopia,110074,,1706,,73808,1636729,116128998
Moldova,108863,1499,2323,19,95918,464494,4030024
Honduras,108253,365,2918,9,48073,267616,9969669
Slovakia,107183,1254,868,29,68859,1082625,5460750
Greece,105271,,2406,,9989,2373566,10401616
Venezuela,102394,,897,,97326,2297557,28402074
Tunisia,96769,,3260,,70851,460624,11869970
Myanmar,92189,1476,1972,31,71343,1182735,54561804
Palestine,88004,2357,747,15,65938,683701,5150025
Bosnia and Herzegovina,87901,,2681,,52769,418107,3272216
Bahrain,86956,,341,,85141,2053974,1725521
Kenya,84169,551,1474,5,55610,893646,54257423
Libya,83417,608,1196,13,54209,436051,6909972
Algeria,83199,,2431,,53809,,44177371
Paraguay,82424,,1756,,58453,449057,7168854
