country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
Denmark,81949,1468,846,9,64757,7497665,5800727
Slovenia,77106,1292,1490,55,55476,524988,2079058
Kyrgyzstan,73178,371,1275,4,64711,504891,6568625
Uzbekistan,73145,104,610,2,70337,1377915,33669824
Ireland,72544,,2053,,23364,1964711,4960674
Nigeria,67557,,1173,,63282,756237,208230502
Malaysia,67169,1472,363,3,56311,2686452,32537799
Lithuania,62515,1187,519,13,15077,1264577,2706174
North Macedonia,61878,,1763,,38946,332286,2083338
Singapore,58228,10,29,,58139,4658858,5869495
Ghana,51667,,323,,50547,592285,31339470
Afghanistan,46717,219,1797,23,36907,150750,39287988
El Salvador,39130,189,1120,6,35839,552608,6499865
Albania,39014,832,822,12,19384,186045,2876478
Norway,36318,168,334,2,27414,2224045,5438888
Montenegro,35265,,499,,24131,133604,628099
Luxembourg,34678,,321,,26086,1374203,630183
S. Korea,34652,451,526,,27885,3083997,51287671
Australia,27912,8,908,,25602,10026696,25622604
Finland,25462,550,399,,16800,1960016,5544324
Cameroon,24445,,437,,22177,149000,26816256
Sri Lanka,24255,268,118,,17817,835391,21450752
Ivory Coast,21331,,132,,20964,218207,26645600
Uganda,20459,,205,,8989,625029,46327896
Sudan,17810,,1249,,10302,,44268882
Latvia,17687,612,210,4,1806,632349,1877372
Zambia,17665,18,357,,17059,410794,18593939
Madagascar,17341,,251,,16657,93734,27982067
Senegal,16107,18,333,,15627,231541,16924203
Mozambique,15770,69,131,,13778,232684,31612571
Angola,15139,,348,,7851,171247,33281850
Namibia,14380,,151,,13535,156723,2559868
French Polynesia,14372,,75,,4842,26355,281585
Guinea,13119,,76,,12045,73155,13278216
Maldives,13011,,46,,11939,248889,544469
DRC,12772,,333,,11585,,90669051
Estonia,12497,191,121,3,7536,483091,1326909
Tajikistan,12194,,86,,11599,,9625529
French Guiana,11204,,70,,9995,82983,301846
Jamaica,10810,47,258,1,6364,115536,2966565
Cabo Verde,10761,,105,,10329,104104,558494
Botswana,10742,,34,,7912,422359,2371152
Cyprus,10565,,49,,2057,619420,1211020
Zimbabwe,10034,,277,,8489,178913,14952406
Malta,9975,102,141,4,7748,430782,442035
Haiti,9294,,233,,8023,34734,11460151
Gabon,9214,,60,,9066,303373,2247254
Mauritania,8601,,177,,7732,103754,4699595
Guadeloupe,8344,,149,,2242,74138,400153
Cuba,8284,,135,,7631,1115144,11323716
R¨¦union,8054,,40,,7172,48859,897974
Syria,7887,,417,,3560,,17674732
Bahamas,7541,,163,,5889,43593,394806
Andorra,6745,,76,,5873,168635,77317
Trinidad and Tobago,6669,,120,,5771,36792,1401383
Eswatini,6419,,122,,6006,62213,1165153
Hong Kong,6397,82,109,,5360,4153109,7522294
Malawi,6028,,185,,5455,74010,19332026
Rwanda,5934,,49,,5516,626311,13083614
Uruguay,5857,,77,,4357,433899,3478762
Belize,5854,111,148,1,3151,30881,400602
Nicaragua,5784,,160,,4225,,6657236
Congo,5774,,94,,4988,,5573681
Djibouti,5680,1,61,,5587,92180,993942
Martinique,5413,,40,,98,63774,375143
Iceland,5413,21,27,1,5187,391989,342166
Guyana,5406,,151,,4392,30096,788136
Suriname,5312,,117,,5194,21648,588818
Mayotte,5181,,49,,2964,25231,275511
Equatorial Guinea,5153,,85,,5009,70345,1421686
CAR,4913,,63,,1924,32711,4864397
Aruba,4845,,45,,4692,50129,106955
Mali,4710,,156,,3206,100284,20488521
Somalia,4451,,113,,3417,,16074085
Thailand,4008,10,60,,3811,977854,69873250
Gambia,3742,,123,,3601,25226,2444356
South Sudan,3111,2,61,,2954,59081,11248153
Benin,3015,,43,,2839,336377,12252958
Togo,2974,,64,,2478,148863,8358242
Burkina Faso,2886,,68,,2593,,21137192
Guinea-Bissau,2441,,44,,2327,29037,1987059
Sierra Leone,2412,,74,,1836,,8043679
Yemen,2191,,619,,1510,16855,30095574
Lesotho,2137,28,44,,1278,26082,2149318
New Zealand,2059,3,25,,1962,1278690,
Chad,1688,,101,,1525,,16617956
San Marino,1612,,46,,1299,17194,33961
Liberia,1595,,83,,1343,34105,5106395
Niger,1548,,72,,1210,46310,24560845
Vietnam,1351,4,35,,1195,1339465,97702766
Channel Islands,1299,,48,,1012,199491,174529
Liechtenstein,1270,,16,,1088,14040,38174
Sint Maarten,1069,3,25,,964,7586,43078
Gibraltar,1030,10,5,,950,91501,33687
Sao Tome and Principe,996,5,17,,934,7498,220835
Mongolia,801,10,,,358,188044,3300090
Turks and Caicos,748,,6,,717,8650,38934
Saint Martin,717,,12,,641,7149,38938
Burundi,689,1,1,,575,62215,12034945
Taiwan,679,4,7,,568,110685,23834820
Papua New Guinea,656,1,7,,597,32221,9016806
Comoros,611,,7,,586,,877210
Monaco,609,,3,,556,51953,39358
Eritrea,577,,,,498,21655,3566735
Tanzania,509,,21,,183,,60427789
Mauritius,504,,10,,456,289552,1272652
Faeroe Islands,503,,,,500,168493,48941
Bhutan,410,14,,,381,202849,775134
Isle of Man,369,,25,,338,18159,85221
Cambodia,326,3,,,304,231443,16814727
Barbados,276,,7,,250,47036,287522
Cayman Islands,274,,2,,252,52620,66042
Bermuda,260,,9,,214,107890,62181
Saint Lucia,259,,2,,131,16074,183977
Seychelles,183,,,,162,5200,98601
Caribbean Netherlands,162,,3,,157,3637,26324
Brunei ,151,1,3,,145,77493,439220
St. Barth,147,,1,,105,4767,9890
Antigua and Barbuda,141,,4,,130,4679,98266
Dominica,85,,,,63,5655,72061
St. Vincent Grenadines,85,,,,79,9555,111087
British Virgin Islands,72,1,1,,71,6431,30315
Macao,46,,,,46,4238,652999
Fiji,42,,2,,33,16229,899151
Grenada,41,,,,30,6252,112741
Laos,39,,,,26,79557,7319225
New Caledonia,33,,,,32,17565,286639
Timor-Leste,30,,,,30,13842,1328783
Vatican City,27,,,,15,,802
Saint Kitts and Nevis,22,,,,19,3677,53356
Greenland,18,,,,18,13021,56811
Solomon Islands,17,,,,5,4500,693779
Falkland Islands,16,,,,13,4245,3521
Saint Pierre Miquelon,16,,,,12,2814,5782
Montserrat,13,,1,,12,577,4993
Western Sahara,10,,1,,8,,603351
Anguilla,6,,,,3,2651,15059
Marshall Islands,4,,,,4,,59356
Wallis and Futuna,3,,,,1,1149,11155
Samoa,2,,,,,,198963
Vanuatu,1,,,,,,310087
China,86542,12,4634,,81631,160000000,
